"UniqueID","StreetAddress","City","State","ZIP"
251,"S HANOVER ST &E PONTIAC AVE","BALTIMORE","Maryland","21225"
252,"2001 BELAIR RD","BALTIMORE","Maryland","21213"
253,"6600 WALTHER AVE","BALTIMORE","Maryland","21206"
254,"6500 WALTHER AVE","BALTIMORE","Maryland","21206"
255,"6425 WALTHER AVE","BALTIMORE","Maryland","21206"
256,"1600 W PRATT ST","BALTIMORE","Maryland","21223"
257,"REISTERSTOWN RD & HAYWARD AVE","BALTIMORE","Maryland","21215"
258,"4900 FREDERICK AVE","BALTIMORE","Maryland","21229"
259,"1800 N PORT ST","BALTIMORE","Maryland","21213"
260,"MARYLAND AVE &W 27TH ST","BALTIMORE","Maryland","21218"
261,"2823 E FEDERAL ST","BALTIMORE","Maryland","21213"
262,"601 E FAYETTE ST","BALTIMORE","Maryland","21202"
263,"PURNELL DR &W FOREST PARK AVE","GWYNN OAK","Maryland","21207"
264,"1038 S HANOVER ST","BALTIMORE","Maryland","21230"
265,"6615 PARK HEIGHTS AVE","BALTIMORE","Maryland","21215"
266,"2900 BOSTON ST","BALTIMORE","Maryland","21224"
267,"5200 EDMONDSON AVE","BALTIMORE","Maryland","21229"
268,"6698 PIONEER DR","BALTIMORE","Maryland","21214"
269,"600 S ANN ST","BALTIMORE","Maryland","21231"
270,"7706 VICTORY AVE","BALTIMORE","Maryland","21234"
271,"W OSTEND ST & WARNER ST","BALTIMORE","Maryland","21230"
272,"W OSTEND ST & RACE ST","BALTIMORE","Maryland","21230"
273,"2600 AILSA AVE","BALTIMORE","Maryland","21214"
274,"1600 E NORTH AVE","BALTIMORE","Maryland","21213"
275,"401 S DEAN ST","BALTIMORE","Maryland","21224"
276,"1549 ABBOTSTON ST","BALTIMORE","Maryland","21218"
277,"2701 KENNEDY AVE","BALTIMORE","Maryland","21218"
278,"400 S BOULDIN ST","BALTIMORE","Maryland","21224"
279,"1001 FLEET ST","BALTIMORE","Maryland","21202"
280,"BOSTON ST &S MONTFORD AVE","BALTIMORE","Maryland","21224"
281,"5003 HOLABIRD AVE","BALTIMORE","Maryland","21224"
282,"2823 E FEDERAL ST","BALTIMORE","Maryland","21213"
283,"3900 WILKENS AVE","BALTIMORE","Maryland","21229"
284,"4000 WILKENS AVE","BALTIMORE","Maryland","21229"
285,"2300 N HILTON ST","BALTIMORE","Maryland","21216"
286,"400 E PRESTON ST","BALTIMORE","Maryland","21202"
287,"W PRESTON ST","BALTIMORE","Maryland","21201"
288,"1106 EDWIGHT CT","BALTIMORE","Maryland","21225"
289,"5103 EDMONDSON AVE","BALTIMORE","Maryland","21229"
290,"300 FOLCROFT ST","BALTIMORE","Maryland","21224"
291,"1715 E 32ND ST","BALTIMORE","Maryland","21218"
292,"100 S GILMOR ST","BALTIMORE","Maryland","21223"
293,"3510 SOUTHERN AVE","BALTIMORE","Maryland","21214"
294,"3721 HILLSDALE RD","BALTIMORE","Maryland","21207"
295,"1600 W NORTH AVE","BALTIMORE","Maryland","21217"
296,"100 E PLEASANT ST","BALTIMORE","Maryland","21202"
297,"16 E 23RD ST","BALTIMORE","Maryland","21218"
298,"3300 ELDORADO AVE","BALTIMORE","Maryland","21207"
299,"1821 S CHARLES ST","BALTIMORE","Maryland","21230"
300,"2352 WILKENS AVE","BALTIMORE","Maryland","21223"
301,"PONCA ST & O'DONNELL ST","BALTIMORE","Maryland","21224"
302,"3900 BROOKLYN AVE","BALTIMORE","Maryland","21225"
