"address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","zip","activity","outcome","updateddate","lon","lat"
"1328  HAUBERT ST","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-05-27T02:48:12.000","2015-05-28T02:48:12.000","LOCUST POINT","15-00410353","MD","DUPCLOSD","2015-05-27T02:48:12.000","21230",NA,NA,NA,-76.5934893,39.2711725
"2700  ERDMAN AVE","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-06-16T12:35:51.000","2015-06-17T12:35:51.000","BELAIR-EDISON","15-00467091","MD","DUPCLOSD","2015-06-16T12:35:51.000","21213",NA,NA,NA,-76.577187,39.3238447
"5100  SINCLAIR LN","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-06-02T17:39:47.000","2015-06-03T17:39:47.000","FRANKFORD","15-00430487","MD","DUPCLOSD","2015-06-02T17:39:47.000","21206",NA,NA,NA,-76.5459657,39.3245037
"1729  JACKSON ST","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-06-13T04:29:55.000","2015-06-14T04:29:55.000","RIVERSIDE","15-00460166","MD","DUPCLOSD","2015-06-13T04:29:55.000","21230",NA,NA,NA,-76.6047205,39.2702529
"1900  SAPP ST","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-06-13T18:58:18.000","2015-06-14T18:58:18.000","EAST BALTIMORE MIDWAY","15-00460951","MD","OPEN","2015-06-13T19:00:06.000","21218",NA,NA,NA,-76.6023127,39.3123229
"S ARLINGTON AVE &W BALTIMORE ST","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-05-28T16:17:50.000","2015-05-29T16:17:50.000","POPPLETON","15-00416871","MD","NEW","2015-06-08T18:46:16.000","21223","Dispatch Work Crew",NA,"2015-06-05T12:34:00.000",-86.0635484,39.705904
"2609  TALBOT RD","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-05-25T04:34:06.000","2015-05-26T04:34:06.000","WINDSOR HILLS","15-00405036","MD","DUPCLOSD","2015-05-25T04:34:06.000","21216",NA,NA,NA,-76.690002,39.315779
"4706  CROSSWOOD AVE","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-06-01T00:25:58.000","2015-06-02T00:25:58.000","MORAVIA-WALTHER","15-00424815","MD","DUPCLOSD","2015-06-01T00:25:58.000","21214",NA,NA,NA,-76.562431,39.3405189
"1924  GRINNALDS AVE","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-06-07T18:47:13.000","2015-06-08T18:47:13.000","MORRELL PARK","15-00443779","MD","DUPCLOSD","2015-06-15T12:59:07.000","21230",NA,NA,NA,-76.650892,39.26663
"2712  LOUISE AVE","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-07-01T19:43:56.000","2015-07-02T19:43:56.000","CHRISTOPHER","15-00517808","MD","CLOSED","2015-07-02T13:10:14.000","21214",NA,NA,NA,-76.560427,39.361818
"600 W NORTHERN PKWY","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-06-04T14:09:37.000","2015-06-05T14:09:37.000","NORTH ROLAND PARK/POPLAR HILL","15-00436498","MD","CLOSED","2015-06-04T14:10:22.000","21210",NA,NA,NA,-76.631003,39.362173
"5107  KENILWORTH AVE","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-06-29T21:33:24.000","2015-06-30T21:33:24.000","KENILWORTH PARK","15-00510262","MD","NEW","2015-06-30T13:03:37.000","21212",NA,NA,NA,-76.599873,39.349702
"3315  MORAVIA RD","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-08-02T15:50:09.000","2015-08-03T15:50:09.000","BEVERLY HILLS","15-00609993","MD","NEW","2015-08-03T11:40:18.000","21214",NA,NA,NA,-76.566799,39.338352
"CANTERBURY RD & W HIGHFIELD RD, BALTIMOR",NA,"ECCSLOW","ECC-Street Light Out","2015-07-24T16:18:24.000","2015-07-25T16:18:24.000","TUSCANY-CANTERBURY","15-00586637","MD","OPEN","2015-07-24T16:26:05.000",NA,NA,NA,NA,1.287046,51.3622492
"425  COLVIN ST","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-06-07T19:07:45.000","2015-06-08T19:07:45.000","OLDTOWN","15-00443882","MD","NEW","2015-06-10T15:59:05.000","21202",NA,NA,NA,-76.6062304,39.295614
"3238  ELMORA AVE","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-06-20T00:06:35.000","2015-06-21T00:06:35.000","FOUR BY FOUR","15-00481112","MD","DUPCLOSD","2015-06-20T00:06:35.000","21213",NA,NA,NA,-76.577292,39.316047
"6905  CHAMBERS RD","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-06-26T13:46:35.000","2015-06-27T13:46:35.000","HARFORD-ECHODALE/PERRING PARKWAY","15-00501316","MD","OPEN","2015-06-26T15:03:09.000","21234",NA,NA,NA,-76.558227,39.368922
"1 S MARTIN LUTHER KING JR BLVD","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-05-12T11:58:58.000","2015-05-13T11:58:58.000","UNIVERSITY OF MARYLAND","15-00369779","MD","DUPCLOSD","2015-05-12T11:58:58.000","21201",NA,NA,NA,-76.6277786,39.2889018
"727  BROOKWOOD RD","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-06-17T16:07:20.000","2015-06-18T16:07:20.000","HUNTING RIDGE","15-00472747","MD","DUPCLOSD","2015-06-17T16:07:20.000","21229",NA,NA,NA,-76.702141,39.296149
"N DECKER AVE &E BIDDLE ST","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-05-27T14:34:02.000","2015-05-28T14:34:02.000","BIDDLE STREET","15-00412250","MD","DUPCLOSD","2015-05-27T14:34:02.000","21213",NA,NA,NA,-84.248647,39.754551
"280  DOLPHIN ST","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-05-15T00:01:11.000","2015-05-16T00:01:11.000","BOLTON HILL","15-00380643","MD","DUPCLOSD","2015-05-15T00:01:11.000","21217",NA,NA,NA,-76.6232737,39.3042496
"2221  KENTUCKY AVE","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-07-19T19:53:43.000","2015-07-20T19:53:43.000","MAYFIELD","15-00568558","MD","NEW","2015-07-20T11:37:55.000","21213",NA,NA,NA,-76.579365,39.328907
"407  JOPLIN ST","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-07-16T13:42:00.000","2015-07-17T13:42:00.000","JOSEPH LEE","15-00560589","MD","NEW","2015-07-17T13:48:04.000","21224",NA,NA,NA,-76.5378974,39.2889742
"2467  DRUID HILL AVE","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-07-21T11:48:54.000","2015-07-22T11:48:54.000","PENN NORTH","15-00572764","MD","OPEN","2015-07-21T11:49:44.000","21217",NA,NA,NA,-76.6402438,39.3126971
"900  ASHBURTON ST","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-07-05T12:04:46.000","2015-07-06T12:04:46.000","MOSHER","15-00525102","MD","NEW","2015-07-16T11:28:45.000","21216","Cityworks SR Comments","UPDATED","2015-07-06T18:19:18.000",-76.6618808,39.2982693
"800 N MARTIN LUTHER KING JR BLVD","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-05-12T11:56:45.000","2015-05-13T11:56:45.000","MADISON PARK","15-00369768","MD","DUPCLOSD","2015-05-12T11:56:45.000","21201",NA,NA,NA,-76.6233445,39.2989804
"1122  HOLLINS ST","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-05-19T23:47:12.000","2015-05-20T23:47:12.000","HOLLINS MARKET","15-00394162","MD","DUPCLOSD","2015-05-19T23:47:12.000","21223",NA,NA,NA,-76.6362387,39.2877981
"1221 N CURLEY ST","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-07-02T17:00:48.000","2015-07-03T17:00:48.000","BEREA","15-00520477","MD","NEW","2015-07-02T17:01:23.000","21213",NA,NA,NA,-76.5761531,39.3055195
