"activity","address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","updateddate","zip","outcome","lon","lat"
"Dispatch Work Crew","GWYNNS FALLS PKWY & N PULASKI ST, BALTIM",NA,"BGESLPIN","BGE-StLight Pole Installation","2015-07-29T18:32:02.000","2015-08-19T18:32:02.000","MONDAWMIN","15-00601297","MD","O-WIP","2015-07-29T18:35:18.000","2015-07-29T18:35:00.000",NA,NA,-76.6651752,39.3146693
"Dispatch Work Crew","W 34TH ST & ROLAND AVE","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-04-22T12:01:52.000","2015-05-13T12:01:52.000","HAMPDEN","15-00313698","MD","CLOSED","2015-04-24T19:38:20.000","2015-04-24T19:32:00.000","21211",NA,-95.43946,29.8172752
"Dispatch Work Crew","N MOUNT ST & EDMONDSON AVE","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-03-25T15:49:44.000","2015-04-15T15:49:44.000","HARLEM PARK","15-00236270","MD","CLOSED","2015-03-27T18:37:13.000","2015-03-27T18:36:00.000","21217",NA,-76.6442781,39.2976778
"Dispatch Work Crew","WABASH AVE &W COLD SPRING LN","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-03-20T05:02:22.000","2015-04-10T05:02:22.000","DOLFIELD","15-00221417","MD","O-WIP","2015-04-06T12:05:40.000","2015-03-25T13:27:00.000","21215",NA,-87.3133604,39.4833563
"Dispatch Work Crew","310 W SARATOGA ST","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-01-07T09:42:42.000","2015-01-28T09:42:42.000","DOWNTOWN","15-00012529","MD","CLOSED","2015-02-03T18:31:12.000","2015-01-08T11:46:00.000","21201",NA,-76.620454,39.2929588
"Dispatch Work Crew","EASTERN AVE &S HAVEN ST","BALTIMORE CITY","BGESLPIN","BGE-StLight Pole Installation","2014-11-03T13:22:29.000","2014-11-24T13:22:29.000","BREWERS HILL","14-00826273","MD","CLOSED","2014-12-11T13:13:01.000","2014-12-11T13:12:00.000","21224",NA,-71.130511,41.68958
"Cityworks SR Comments","2901 N CHARLES ST","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2014-12-02T12:29:46.000","2014-12-23T12:29:46.000","CHARLES VILLAGE","14-00902389","MD","CLOSED","2014-12-05T18:23:16.000","2014-12-02T13:43:06.000","21218","UPDATED",-76.6169173,39.3233505
NA,"5400  PERRING PKWY","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-01-14T18:54:04.000","2015-02-04T18:54:04.000","LOCH RAVEN","15-00031657","MD","CLOSED","2015-03-10T19:21:59.000",NA,"21239",NA,-76.5758423,39.3548821
"Cityworks SR Comments","BRENDAN AVE & MANNASOTA AVE","BALTIMORE CITY","BGESLPIN","BGE-StLight Pole Installation","2014-10-11T00:43:45.000","2014-11-01T00:43:45.000","BELAIR-EDISON","14-00767392","MD","CLOSED","2014-11-12T13:15:58.000","2014-10-11T00:59:48.000","21213","UPDATED",-76.5687463,39.3215215
"Cityworks SR Comments","18  CUSTOM HOUSE AVE","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-01-23T16:44:58.000","2015-02-13T16:44:58.000","DOWNTOWN","15-00053249","MD","CLOSED","2015-02-10T12:04:02.000","2015-01-23T17:22:07.000","21202","UPDATED",-76.6097831,39.2893668
NA,"516 E 25TH ST","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-07-09T18:49:41.000","2015-07-30T18:49:41.000","BETTER WAVERLY","15-00540527","MD","O-WIP","2015-07-09T18:54:08.000",NA,"21218",NA,-76.608374,39.31845
NA,"2139 E CHASE ST","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-07-27T16:38:55.000","2015-08-17T16:38:55.000","MIDDLE EAST","15-00593690","MD","O-WIP","2015-07-30T13:36:42.000",NA,"21213",NA,-76.587143,39.303333
"Cityworks SR Comments","42 E CROSS ST","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-01-15T14:45:42.000","2015-02-05T14:45:42.000","FEDERAL HILL","15-00033618","MD","CLOSED","2015-02-25T12:26:36.000","2015-01-15T15:10:25.000","21230","UPDATED",-76.6129134,39.2770899
"Dispatch Work Crew","852  POWERS ST","BALTIMORE CITY","BGESLPIN","BGE-StLight Pole Installation","2014-08-03T22:08:05.000","2014-08-24T22:08:05.000","HAMPDEN","14-00576656","MD","CLOSED","2014-08-06T12:20:56.000","2014-08-06T12:20:00.000","21211",NA,-76.6310009,39.329424
NA,"3827  PULASKI HWY","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-04-10T19:16:24.000","2015-05-01T19:16:24.000","BALTIMORE HIGHLANDS","15-00282598","MD","CLOSED","2015-05-21T12:00:47.000",NA,"21224",NA,-76.564628,39.296526
"Dispatch Work Crew","1700  PRESSTMAN ST","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2014-11-22T22:36:16.000","2014-12-13T22:36:16.000","SANDTOWN-WINCHESTER","14-00881420","MD","CLOSED","2014-12-09T13:00:05.000","2014-12-08T12:15:00.000","21217",NA,-76.6448959,39.3054909
