"address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","zip","activity","outcome","updateddate","lon","lat"
"1074  TUNBRIDGE RD","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-07-23T23:29:08.000","2015-09-11T23:29:08.000","CAMERON VILLAGE","15-00583796","MD","OPEN","2015-07-23T23:29:08.000","21212",NA,NA,NA,NA,NA
"2500 W LANVALE ST","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-04-08T12:02:00.000","2015-05-28T12:02:00.000","EVERGREEN LAWN","15-00273522","MD","CLOSED","2015-08-04T09:48:02.000","21216","Generate Work Order","Sign erected","2015-08-04T09:47:00.000",NA,NA
"1900  NORTHBOURNE RD","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-06-01T20:57:05.000","2015-07-21T20:57:05.000","PERRING LOCH","15-00428100","MD","CLOSED","2015-06-10T18:00:53.000","21239",NA,NA,NA,NA,NA
"2001 E FAIRMOUNT AVE","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-04-13T20:00:05.000","2015-06-02T20:00:05.000","BUTCHER'S HILL","15-00288827","MD","DUPCLOSD","2015-07-08T11:52:02.000","21231",NA,NA,NA,NA,NA
"2001 E FAIRMOUNT AVE","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-04-17T20:34:01.000","2015-06-06T20:34:01.000","BUTCHER'S HILL","15-00304071","MD","DUPCLOSD","2015-07-08T11:52:02.000","21231",NA,NA,NA,NA,NA
"4800  SIPPLE AVE","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-04-24T14:29:35.000","2015-06-13T14:29:35.000","FRANKFORD","15-00322122","MD","CLOSED","2015-06-29T10:22:53.000","21206","Generate Work Order","Sign erected","2015-06-29T10:22:00.000",NA,NA
"1400 W COLD SPRING LN","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-05-26T14:25:25.000","2015-07-15T14:25:25.000","CROSS KEYS","15-00407969","MD","CLOSED","2015-07-14T12:54:55.000",NA,"Generate Work Order","Sign erected","2015-07-14T12:54:00.000",NA,NA
"1700 W LOMBARD ST","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-05-22T17:41:36.000","2015-07-11T17:41:36.000","UNION SQUARE","15-00402113","MD","OPEN","2015-06-09T14:04:30.000","21223",NA,NA,NA,NA,NA
"5728  GOVANE AVE","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-07-23T22:44:42.000","2015-09-11T22:44:42.000","MID-GOVANS","15-00583722","MD","OPEN","2015-07-23T22:44:42.000","21212",NA,NA,NA,NA,NA
"1008  STILES ST","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-07-19T15:01:39.000","2015-09-07T15:01:39.000","LITTLE ITALY","15-00568210","MD","DUPOPEN","2015-07-19T15:01:39.000","21202",NA,NA,NA,NA,NA
"3204  LOCH RAVEN BLVD","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-07-07T14:11:48.000","2015-08-26T14:11:48.000","BETTER WAVERLY","15-00531085","MD","CLOSED","2015-07-08T13:45:55.000","21218",NA,NA,NA,NA,NA
"2613  REISTERSTOWN RD","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-07-17T14:48:16.000","2015-09-05T14:48:16.000","PARKVIEW/WOODBROOK","15-00564626","MD","CLOSED","2015-07-27T19:31:30.000","21217",NA,NA,NA,NA,NA
"1919  RUXTON AVE","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-05-29T13:45:21.000","2015-07-18T13:45:21.000","MONDAWMIN","15-00419939","MD","O-PENDNG","2015-07-07T18:30:57.000","21216",NA,NA,NA,NA,NA
"1710 W NORTH AVE","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-06-22T13:42:53.000","2015-08-11T13:42:53.000","PENN NORTH","15-00484993","MD","CLOSED","2015-07-06T20:00:32.000","21217",NA,NA,NA,NA,NA
"7211  PARK HEIGHTS AVE","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-05-19T13:55:26.000","2015-07-08T13:55:26.000","CROSS COUNTRY","15-00392014","MD","CLOSED","2015-06-29T11:06:40.000","21208","Generate Work Order","Sign erected","2015-06-29T11:05:00.000",NA,NA
