"UniqueID","StreetAddress","City","State","ZIP","i"
53,"4627 BELVIEU AVE","BALTIMORE","Maryland","21207",1
54,"2510 HALCYON AVE","BALTIMORE","Maryland","21214",1
55,"HILLSDALE RD & MAINE AVE","BALTIMORE","Maryland","21207",1
56,"900 DRUID PARK LAKE DR","BALTIMORE","Maryland","21217",1
57,"3404 CHESTERFIELD AVE","BALTIMORE","Maryland","21213",1
58,"1200 E NORTH AVE","BALTIMORE","Maryland","21202",1
59,"3800 W ROGERS AVE","BALTIMORE","Maryland","21215",1
60,"PERRING PKWY &E NORTHERN PKWY","BALTIMORE","Maryland","21239",1
61,"2128 SAINT PAUL ST","BALTIMORE","Maryland","21218",1
62,"430 ELRINO ST","BALTIMORE","Maryland","21224",1
63,"W BELVEDERE AVE & PEMBRIDGE AVE","BALTIMORE","Maryland","21215",1
64,"GIST AVE &W ROGERS AVE","BALTIMORE","Maryland","21215",1
65,"5432 NELSON AVE","BALTIMORE","Maryland","21215",1
66,"N CENTRAL AVE & BIDDLE CHASE","BALTIMORE","Maryland","21202",1
67,"N BROADWAY &E FAIRMOUNT AVE","BALTIMORE","Maryland","21231",1
68,"1419 W FAYETTE ST","BALTIMORE","Maryland","21223",1
69,"100 MERCER ST","BALTIMORE","Maryland","21202",1
70,"6013 PARK HEIGHTS AVE","BALTIMORE","Maryland","21215",1
71,"1425 ALICEANNA ST","BALTIMORE","Maryland","21231",1
72,"1929 FLEET ST","BALTIMORE","Maryland","21231",1
73,"3832 LIBERTY HEIGHTS AVE","BALTIMORE","Maryland","21215",1
74,"PERRING PKWY &E NORTHERN PKWY","BALTIMORE","Maryland","21239",1
75,"1008 MARLAU DR","BALTIMORE","Maryland","21212",1
76,"300 KERNEWAY","BALTIMORE","Maryland","21212",1
77,"400 S CENTRAL AVE","BALTIMORE","Maryland","21202",1
