"address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","zip","activity","outcome","updateddate","lon","lat"
"2327 E OLIVER ST","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-10-23T11:37:48.000","2014-10-24T11:37:48.000","BROADWAY EAST","14-00797732","MD","CLOSED","2014-11-12T12:25:05.000","21213","Dispatch Work Crew","Removed broken branch","2014-11-12T12:24:00.000",-76.584614,39.307684
"2521  MOORE AVE","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-10-21T13:22:49.000","2014-10-22T13:22:49.000","HARFORD-ECHODALE/PERRING PARKWAY","14-00791747","MD","CLOSED","2014-10-24T12:17:15.000","21234","Dispatch Work Crew","No Cause For Action","2014-10-24T12:16:00.000",-76.556729,39.370339
"3609  SEQUOIA AVE","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-10-21T11:27:04.000","2014-10-22T11:27:04.000","ASHBURTON","14-00791204","MD","CLOSED","2014-10-27T13:40:45.000","21215","Dispatch Work Crew","Removed broken branch","2014-10-27T13:36:00.000",-76.675225,39.330425
"3112  JUNEAU PL","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-10-20T11:24:01.000","2014-10-21T11:24:01.000","ARCADIA","14-00787826","MD","CLOSED","2014-11-18T10:24:26.000","21214","Dispatch Inspector","Broken branch needs to be removed","2014-10-30T19:02:00.000",-76.570841,39.334058
"3800  AYRDALE AVE","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-10-19T13:50:22.000","2014-10-20T13:50:22.000","CALLAWAY-GARRISON","14-00786895","MD","CLOSED","2014-10-21T12:07:42.000","21215","Dispatch Work Crew","Removed broken branch","2014-10-21T12:07:00.000",-76.6786731,39.3317579
"230 W LAFAYETTE AVE","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-10-16T11:19:38.000","2014-10-17T11:19:38.000","BOLTON HILL","14-00779005","MD","CLOSED","2014-10-17T11:50:12.000","21217",NA,NA,NA,-76.625583,39.306042
"2300 N ROSEDALE ST","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-10-12T23:13:23.000","2014-10-13T23:13:23.000","WALBROOK","14-00770238","MD","CLOSED","2014-10-20T15:28:06.000","21216","Dispatch Work Crew","Removed broken branch","2014-10-20T15:27:00.000",-76.669861,39.313384
"LAWINA RD & WAKEFIELD RD","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-10-10T16:57:07.000","2014-10-11T16:57:07.000","WEST FOREST PARK","14-00766430","MD","CLOSED","2014-11-19T18:30:16.000","21216","Dispatch Work Crew","Removed broken branch","2014-11-19T18:29:00.000",-76.6891965,39.3177181
"2636  WILKENS AVE","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-10-10T10:24:10.000","2014-10-11T10:24:10.000","MILLHILL","14-00764812","MD","CLOSED","2014-10-14T12:46:03.000","21223","Dispatch Work Crew","Removed broken branch","2014-10-14T12:45:00.000",-76.65723,39.2787037
"1651  RAMBLEWOOD RD","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-10-08T20:16:59.000","2014-10-09T20:16:59.000","LOCH RAVEN","14-00760612","MD","CLOSED","2014-10-14T12:49:06.000","21239","Dispatch Work Crew","Removed broken branch","2014-10-14T12:48:00.000",-76.584044,39.359067
"202  CEDARCROFT RD","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-10-07T18:18:41.000","2014-10-08T18:18:41.000","CEDARCROFT","14-00756538","MD","CLOSED","2014-10-09T12:02:04.000","21212","Dispatch Work Crew","Removed broken branch","2014-10-09T12:01:00.000",-76.617588,39.3695329
"1121  FALLSHILL DR","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-10-07T13:51:15.000","2014-10-08T13:51:15.000","HOES HEIGHTS","14-00755131","MD","CLOSED","2014-10-15T11:35:54.000","21211","Dispatch Work Crew","Removed broken branch","2014-10-15T11:34:00.000",-76.638442,39.339998
"5722  LEITH WALK","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-10-07T00:31:39.000","2014-10-08T00:31:39.000","RAMBLEWOOD","14-00753937","MD","CLOSED","2014-10-14T12:49:47.000","21239","Dispatch Work Crew","Removed broken branch","2014-10-14T12:49:00.000",-76.591622,39.361977
"8  LONGWOOD RD","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-10-06T18:52:40.000","2014-10-07T18:52:40.000","ROLAND PARK","14-00753122","MD","CLOSED","2014-10-20T15:26:56.000","21210","Dispatch Inspector","No Cause For Action","2014-10-16T18:07:00.000",-76.635871,39.355896
"131 N EDGEWOOD ST","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-09-26T17:01:47.000","2014-09-27T17:01:47.000","ALLENDALE","14-00728322","MD","CLOSED","2014-09-29T10:42:00.000","21229","Dispatch Inspector","Duplicate request","2014-09-29T10:40:00.000",-76.6765989,39.2895715
"625 S BELNORD AVE","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-09-25T18:41:05.000","2014-09-26T18:41:05.000","CANTON","14-00725640","MD","CLOSED","2014-10-02T14:54:38.000","21224","Dispatch Work Crew","No Cause For Action","2014-10-02T14:54:00.000",-76.57765,39.2846806
"4900  NELSON AVE","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-09-25T16:57:53.000","2014-09-26T16:57:53.000","LANGSTON HUGHES","14-00725273","MD","CLOSED","2014-10-17T11:52:39.000","21215",NA,NA,NA,-76.6797724,39.3426834
"3617  HARFORD RD","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-09-25T16:49:56.000","2014-09-26T16:49:56.000","MAYFIELD","14-00725235","MD","CLOSED","2014-10-02T15:06:32.000","21218","Dispatch Work Crew","No Cause For Action","2014-10-02T15:05:00.000",-76.5794512,39.3310726
"3819  DOLFIELD AVE","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-09-24T20:20:10.000","2014-09-25T20:20:10.000","DOLFIELD","14-00722743","MD","CLOSED","2014-09-26T11:49:09.000","21215","Dispatch Work Crew","No Cause For Action","2014-09-26T11:47:00.000",-76.680643,39.338974
"2106  POPLAR GROVE ST","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-09-24T13:14:06.000","2014-09-25T13:14:06.000","PANWAY/BRADDISH AVENUE","14-00720796","MD","CLOSED","2014-11-20T12:06:34.000","21216","Dispatch Work Crew","No Cause For Action","2014-11-20T12:06:00.000",-76.666219,39.312047
"1222  SHERWOOD AVE","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-09-23T21:02:09.000","2014-09-24T21:02:09.000","RAMBLEWOOD","14-00719197","MD","CLOSED","2014-09-24T18:19:22.000","21239","Dispatch Work Crew","Removed broken branch","2014-09-24T18:18:00.000",-76.591654,39.366022
"3819  DOLFIELD AVE","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-09-19T19:23:39.000","2014-09-20T19:23:39.000","DOLFIELD","14-00710249","MD","CLOSED","2014-09-23T18:16:44.000","21215","Dispatch Work Crew","Removed broken branch","2014-09-23T18:16:00.000",-76.680643,39.338974
"3659  COTTAGE AVE","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-09-19T14:18:26.000","2014-09-20T14:18:26.000","PARK CIRCLE","14-00708838","MD","CLOSED","2014-09-23T18:19:39.000","21215","Dispatch Work Crew","Removed broken branch","2014-09-23T18:18:00.000",-76.658125,39.3312839
"5921  CHINQUAPIN PKWY","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-09-12T11:45:31.000","2014-09-13T11:45:31.000","GLEN OAKS","14-00688806","MD","CLOSED","2014-09-17T10:45:28.000","21239","Dispatch Inspector","Removed broken branch","2014-09-12T11:45:00.000",-76.5967919,39.364449
"4935  SCHAUB AVE","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-09-11T12:42:48.000","2014-09-12T12:42:48.000","FRANKFORD","14-00685604","MD","CLOSED","2014-09-16T12:27:32.000","21206","Dispatch Inspector","No Cause For Action","2014-09-16T12:27:00.000",-76.539283,39.322854
"1563  SHERWOOD AVE","BALTIMORE","FOBRBRIT","Forestry Broken Branch in Tree","2014-09-10T12:26:37.000","2014-09-11T12:26:37.000","LOCH RAVEN","14-00681764","MD","CLOSED","2014-09-17T11:45:44.000","21239","Dispatch Inspector","Broken branch needs to be removed","2014-09-11T18:24:00.000",-76.584349,39.36164
