"activity","address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","updateddate","zip","outcome","lon","lat"
"Dispatch lighting Inspector","853 N FRANKLINTOWN RD","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-09-23T21:21:42.000","2014-11-02T21:21:42.000","FRANKLINTOWN ROAD","14-00719241","MD","CLOSED","2014-09-25T12:00:55.000","2014-09-25T12:00:00.000","21216",NA,NA,NA
"Dispatch lighting Inspector","3012 W LANVALE ST","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-09-23T21:08:23.000","2014-11-02T21:08:23.000","FRANKLINTOWN ROAD","14-00719208","MD","CLOSED","2014-09-24T13:32:52.000","2014-09-24T13:32:00.000","21216",NA,NA,NA
"Dispatch lighting Inspector","3133  TILDEN DR","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-09-19T18:30:22.000","2014-10-29T18:30:22.000","HAMPDEN","14-00710021","MD","CLOSED","2015-01-09T11:37:24.000","2014-09-23T11:48:00.000","21211",NA,NA,NA
NA,"4000  LYNDALE AVE","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-09-18T19:23:54.000","2014-10-28T19:23:54.000","BELAIR-EDISON","14-00707015","MD","CLOSED","2014-11-18T13:49:37.000",NA,"21213",NA,NA,NA
"Dispatch lighting Inspector","3623  MILFORD AVE","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-09-18T16:38:42.000","2014-10-28T16:38:42.000","HOWARD PARK","14-00706212","MD","CLOSED","2014-09-24T18:25:14.000","2014-09-19T18:30:00.000","21207",NA,NA,NA
NA,"1322  HOMESTEAD ST","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-09-18T11:13:16.000","2014-10-28T11:13:16.000","COLDSTREAM HOMESTEAD MONTEBELLO","14-00704391","MD","CLOSED","2015-01-12T13:14:20.000",NA,"21218",NA,NA,NA
NA,"400 S EAST AVE","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-09-17T18:50:15.000","2014-10-27T18:50:15.000","HIGHLANDTOWN","14-00703307","MD","CLOSED","2014-09-25T13:52:26.000",NA,"21224",NA,NA,NA
"Dispatch lighting Inspector","S MARTIN LUTHER KING JR BLVD","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-09-17T10:11:56.000","2014-10-27T10:11:56.000","RIDGELY'S DELIGHT","14-00700944","MD","CLOSED","2014-09-25T18:49:39.000","2014-09-25T18:49:00.000","21201",NA,NA,NA
NA,"N BENTALOU ST &W LAFAYETTE AVE","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-09-15T16:50:16.000","2014-10-25T16:50:16.000","BRIDGEVIEW/GREENLAWN","14-00695758","MD","CLOSED","2014-09-16T12:30:08.000",NA,"21216",NA,NA,NA
NA,"1946  HOLLINS FERRY RD","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-09-15T16:02:11.000","2014-10-25T16:02:11.000","SAINT PAUL","14-00695484","MD","CLOSED","2015-02-24T18:56:28.000",NA,"21230",NA,NA,NA
NA,"3411  LAKE MONTEBELLO DR","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-09-15T00:31:37.000","2014-10-25T00:31:37.000","MAYFIELD","14-00693799","MD","CLOSED","2014-11-18T13:40:50.000",NA,"21218",NA,NA,NA
