"activity","address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","updateddate","zip","outcome","lon","lat"
"Dispatch lighting Inspector","2500  PARK HEIGHTS TER","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-04-24T18:15:49.000","2015-06-03T18:15:49.000","GREENSPRING","15-00323107","MD","CLOSED","2015-04-29T12:03:44.000","2015-04-24T18:16:00.000","21215",NA,NA,NA
"Dispatch lighting Inspector","N CHARLES ST &E 33RD ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-04-21T18:51:18.000","2015-05-31T18:51:18.000","CHARLES VILLAGE","15-00312253","MD","CLOSED","2015-04-23T18:10:21.000","2015-04-22T18:00:00.000","21218",NA,NA,NA
"Dispatch lighting Inspector","3926  ELM AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-04-16T16:57:24.000","2015-05-26T16:57:24.000","HAMPDEN","15-00299184","MD","CLOSED","2015-04-20T12:56:03.000","2015-04-20T12:55:00.000","21211",NA,NA,NA
NA,"3818  FOSTER AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-04-13T22:16:34.000","2015-05-23T22:16:34.000","BREWERS HILL","15-00289391","MD","CLOSED","2015-04-16T12:57:30.000",NA,"21224",NA,NA,NA
"Dispatch lighting Inspector","1800  DRUID HILL AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-04-13T18:14:01.000","2015-05-23T18:14:01.000","DRUID HEIGHTS","15-00288252","MD","CLOSED","2015-04-20T18:25:24.000","2015-04-20T18:25:00.000","21217",NA,NA,NA
NA,"3405  LAKE MONTEBELLO DR","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-04-06T19:09:37.000","2015-05-16T19:09:37.000","MAYFIELD","15-00268607","MD","CLOSED","2015-04-07T11:45:05.000",NA,"21218",NA,NA,NA
"Dispatch lighting Inspector","3701 W FOREST PARK AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-04-05T13:12:46.000","2015-05-15T13:12:46.000","FOREST PARK","15-00265112","MD","CLOSED","2015-04-22T12:33:47.000","2015-04-22T12:33:00.000","21216",NA,NA,NA
NA,"2101  DOBLER AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-04-03T13:33:24.000","2015-05-13T13:33:24.000","MAYFIELD","15-00262486","MD","CLOSED","2015-04-23T18:24:40.000",NA,"21218",NA,NA,NA
NA,"3400  LAKE MONTEBELLO DR","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-04-03T12:28:10.000","2015-05-13T12:28:10.000","MONTEBELLO","15-00262289","MD","CLOSED","2015-04-23T18:22:45.000",NA,"21218",NA,NA,NA
NA,"3516 N CALVERT ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-04-02T16:03:47.000","2015-05-12T16:03:47.000","OAKENSHAWE","15-00259848","MD","CLOSED","2015-04-29T12:11:27.000",NA,"21218",NA,NA,NA
"Dispatch lighting Inspector","1105  COOKS LN","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-03-29T15:27:16.000","2015-05-08T15:27:16.000","WEST HILLS","15-00247060","MD","CLOSED","2015-04-02T13:04:58.000","2015-03-31T13:06:00.000","21229",NA,NA,NA
"Dispatch lighting Inspector","N BEND RD & FREDERICK AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-03-27T13:23:55.000","2015-05-06T13:23:55.000","WESTGATE","15-00243099","MD","CLOSED","2015-04-06T12:46:25.000","2015-04-06T12:46:00.000","21229",NA,NA,NA
NA,"610 N CHESTER ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-03-26T19:10:49.000","2015-05-05T19:10:49.000","MIDDLE EAST","15-00241051","MD","CLOSED","2015-03-31T18:43:51.000",NA,"21205",NA,NA,NA
NA,"3733  10TH ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-03-25T20:01:58.000","2015-05-04T20:01:58.000","BROOKLYN","15-00237409","MD","CLOSED","2015-03-27T12:41:37.000",NA,"21225",NA,NA,NA
NA,"1700  DUNDALK AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-03-23T13:46:29.000","2015-05-02T13:46:29.000","BROENING MANOR","15-00228230","MD","CLOSED","2015-03-24T12:49:18.000",NA,"21222",NA,NA,NA
NA,"1900  BANK ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-03-19T01:26:34.000","2015-04-28T01:26:34.000","UPPER FELLS POINT","15-00217547","MD","CLOSED","2015-03-25T13:05:37.000",NA,"21231",NA,NA,NA
"Dispatch lighting Inspector","3200  LEIGHTON AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-03-19T01:17:35.000","2015-04-28T01:17:35.000","BURLEITH-LEIGHTON","15-00217539","MD","CLOSED","2015-03-24T12:51:56.000","2015-03-23T11:11:00.000","21215",NA,NA,NA
"Dispatch lighting Inspector","5100  PARK HEIGHTS AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-03-12T13:28:56.000","2015-04-21T13:28:56.000","CENTRAL PARK HEIGHTS","15-00194424","MD","CLOSED","2015-03-13T12:28:21.000","2015-03-12T13:29:00.000","21215",NA,NA,NA
NA,"2516  HARFORD RD","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-03-12T12:50:16.000","2015-04-21T12:50:16.000","COLDSTREAM HOMESTEAD MONTEBELLO","15-00194047","MD","CLOSED","2015-03-13T13:45:08.000",NA,"21218",NA,NA,NA
NA,"234 S CONKLING ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-03-12T01:57:23.000","2015-04-21T01:57:23.000","HIGHLANDTOWN","15-00193299","MD","CLOSED","2015-03-12T13:58:18.000",NA,"21224",NA,NA,NA
NA,"801  PONTIAC AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-03-05T13:05:21.000","2015-04-14T13:05:21.000","BROOKLYN","15-00169675","MD","CLOSED","2015-03-13T12:22:09.000",NA,"21225",NA,NA,NA
NA,"4 N PRESIDENT ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-02-26T04:49:59.000","2015-04-07T04:49:59.000","DOWNTOWN","15-00148135","MD","OPEN","2015-02-26T16:54:30.000",NA,"21202",NA,NA,NA
"Dispatch lighting Inspector","100 W OSTEND ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-02-24T12:34:47.000","2015-04-05T12:34:47.000","SHARP-LEADENHALL","15-00141017","MD","CLOSED","2015-03-04T18:47:38.000","2015-03-04T18:47:00.000","21230",NA,NA,NA
"Dispatch lighting Inspector","1100  LEADENHALL ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-02-24T12:34:02.000","2015-04-05T12:34:02.000","SHARP-LEADENHALL","15-00141011","MD","CLOSED","2015-03-11T12:15:14.000","2015-03-11T12:14:00.000","21230",NA,NA,NA
"Dispatch lighting Inspector","1100  RACE ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-02-24T12:33:38.000","2015-04-05T12:33:38.000","SHARP-LEADENHALL","15-00141008","MD","CLOSED","2015-03-04T18:42:54.000","2015-03-04T18:42:00.000","21230",NA,NA,NA
"Dispatch lighting Inspector","4500  MAPLE WOOD DR","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-02-21T08:37:30.000","2015-04-02T08:37:30.000","UPLANDS","15-00129421","MD","CLOSED","2015-02-23T17:27:23.000","2015-02-23T12:00:00.000","21229",NA,NA,NA
NA,"5500  BELLE AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-02-12T13:16:21.000","2015-03-24T13:16:21.000","GROVE PARK","15-00101331","MD","CLOSED","2015-02-13T14:03:55.000",NA,"21207",NA,NA,NA
"Dispatch lighting Inspector","3800  GELSTON DR","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-02-11T21:10:03.000","2015-03-23T21:10:03.000","EDMONDSON VILLAGE","15-00100118","MD","CLOSED","2015-02-20T11:40:57.000","2015-02-20T11:40:00.000","21229",NA,NA,NA
"Dispatch lighting Inspector","1210  HOLLINS ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-02-02T15:00:22.000","2015-03-14T15:00:22.000","HOLLINS MARKET","15-00074268","MD","CLOSED","2015-02-05T12:20:25.000","2015-02-05T12:19:00.000","21223",NA,NA,NA
NA,"1317  WEBSTER ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-01-29T12:09:45.000","2015-03-10T12:09:45.000","RIVERSIDE","15-00065588","MD","CLOSED","2015-02-03T12:20:29.000",NA,"21230",NA,NA,NA
"Dispatch lighting Inspector","1141 E NORTHERN PKWY","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-01-27T18:33:33.000","2015-03-08T18:33:33.000","GLEN OAKS","15-00061917","MD","CLOSED","2015-04-29T12:33:50.000","2015-01-29T12:35:00.000","21239",NA,NA,NA
NA,"505 N FREMONT AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-01-23T17:57:00.000","2015-03-04T17:57:00.000","HERITAGE CROSSING","15-00053524","MD","CLOSED","2015-01-28T12:05:21.000",NA,"21201",NA,NA,NA
"Dispatch lighting Inspector","1400  EUTAW PL","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-01-22T12:06:30.000","2015-03-03T12:06:30.000","MADISON PARK","15-00048635","MD","CLOSED","2015-01-23T12:28:14.000","2015-01-22T12:07:00.000","21217",NA,NA,NA
NA,"1450  COOKSIE ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-01-21T12:30:06.000","2015-03-02T12:30:06.000","LOCUST POINT","15-00046002","MD","CLOSED","2015-04-29T12:20:46.000",NA,"21230",NA,NA,NA
"Dispatch lighting Inspector","W 40TH ST & ROLAND AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-01-20T18:12:06.000","2015-03-01T18:12:06.000","ROLAND PARK","15-00044503","MD","CLOSED","2015-01-29T19:06:11.000","2015-01-22T11:59:00.000","21211",NA,NA,NA
"Dispatch lighting Inspector","MILFORD AVE & LIBERTY HEIGHTS AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-01-20T15:42:49.000","2015-03-01T15:42:49.000","HOWARD PARK","15-00043836","MD","CLOSED","2015-02-11T12:15:47.000","2015-01-29T18:57:00.000","21207",NA,NA,NA
"Dispatch lighting Inspector","6500  ARMSTRONG AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-01-20T15:25:05.000","2015-03-01T15:25:05.000","REISTERSTOWN STATION","15-00043743","MD","CLOSED","2015-04-29T12:17:30.000","2015-01-22T12:03:00.000","21215",NA,NA,NA
NA,"1700  ABBOTSTON ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-01-20T13:06:32.000","2015-03-01T13:06:32.000","COLDSTREAM HOMESTEAD MONTEBELLO","15-00042666","MD","DUPCLOSD","2015-01-20T13:11:37.000",NA,"21218",NA,NA,NA
"Dispatch lighting Inspector","3324  BURLEITH AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-01-20T12:22:37.000","2015-03-01T12:22:37.000","BURLEITH-LEIGHTON","15-00042094","MD","CLOSED","2015-01-29T18:51:05.000","2015-01-29T18:50:00.000","21215",NA,NA,NA
"Dispatch lighting Inspector","CARLEVIEW RD &W FOREST PARK AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-01-19T11:15:17.000","2015-02-28T11:15:17.000","WEST FOREST PARK","15-00040018","MD","CLOSED","2015-01-20T12:07:52.000","2015-01-20T12:07:00.000","21207",NA,NA,NA
NA,"1700  ABBOTSTON ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-01-15T16:14:47.000","2015-02-24T16:14:47.000","COLDSTREAM HOMESTEAD MONTEBELLO","15-00034139","MD","CLOSED","2015-01-20T13:11:37.000",NA,"21218",NA,NA,NA
"Dispatch lighting Inspector","251 S MORLEY ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-01-15T15:59:23.000","2015-02-24T15:59:23.000","IRVINGTON","15-00034097","MD","CLOSED","2015-04-29T12:26:55.000","2015-01-16T11:25:00.000","21229",NA,NA,NA
NA,"234 S CONKLING ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-01-15T12:36:55.000","2015-02-24T12:36:55.000","HIGHLANDTOWN","15-00032917","MD","CLOSED","2015-04-07T11:46:58.000",NA,"21224",NA,NA,NA
"Dispatch lighting Inspector","301  FONTHILL AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-01-12T15:14:05.000","2015-02-21T15:14:05.000","CARROLL-SOUTH HILTON","15-00025242","MD","CLOSED","2015-01-15T12:47:05.000","2015-01-15T12:45:00.000","21223",NA,NA,NA
"Dispatch lighting Inspector","623  JASPER ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-01-12T13:46:09.000","2015-02-21T13:46:09.000","SETON HILL","15-00024912","MD","CLOSED","2015-02-24T19:02:55.000","2015-02-24T19:02:00.000","21201",NA,NA,NA
NA,"206 W COLD SPRING LN","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-01-06T15:00:45.000","2015-02-15T15:00:45.000","EVERGREEN","15-00010768","MD","CLOSED","2015-01-07T14:02:55.000",NA,"21210",NA,NA,NA
NA,"206 W COLD SPRING LN","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-01-06T13:55:28.000","2015-02-15T13:55:28.000","EVERGREEN","15-00010428","MD","CLOSED","2015-01-07T14:45:24.000",NA,"21210",NA,NA,NA
NA,"206 W COLD SPRING LN","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-01-05T21:55:14.000","2015-02-14T21:55:14.000","EVERGREEN","15-00008929","MD","CLOSED","2015-01-07T14:06:24.000",NA,"21210",NA,NA,NA
NA,"216  KENDALL RD","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-01-05T18:30:49.000","2015-02-14T18:30:49.000","EVERGREEN","15-00008271","MD","CLOSED","2015-01-07T13:48:08.000",NA,"21210",NA,NA,NA
"Dispatch lighting Inspector","206 W COLD SPRING LN","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2015-01-05T14:40:24.000","2015-02-14T14:40:24.000","EVERGREEN","15-00007158","MD","CLOSED","2015-01-07T13:54:03.000","2015-01-07T11:58:00.000","21210",NA,NA,NA
NA,"200  HOMEWOOD TER","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2014-12-30T11:14:47.000","2015-02-08T11:14:47.000","OAKENSHAWE","14-00964774","MD","CLOSED","2015-04-16T13:01:45.000",NA,"21218",NA,NA,NA
"Dispatch lighting Inspector","700 W 40TH ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2014-12-29T17:14:02.000","2015-02-07T17:14:02.000","ROLAND PARK","14-00963762","MD","CLOSED","2015-01-21T12:54:59.000","2015-01-21T12:54:00.000","21211",NA,NA,NA
NA,"1728  DARLEY AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2014-12-29T14:40:24.000","2015-02-07T14:40:24.000","DARLEY PARK","14-00963262","MD","CLOSED","2014-12-30T11:43:30.000",NA,"21213",NA,NA,NA
NA,"MORELLO RD","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2014-12-28T19:33:33.000","2015-02-06T19:33:33.000","LAURAVILLE","14-00961532","MD","CLOSED","2015-01-07T13:34:03.000",NA,"21214",NA,NA,NA
"Dispatch lighting Inspector","505 N FREMONT AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2014-12-12T22:28:54.000","2015-01-21T22:28:54.000","HERITAGE CROSSING","14-00930390","MD","CLOSED","2015-04-07T18:38:52.000","2015-04-07T18:38:00.000","21223",NA,NA,NA
NA,"5300  MAYVIEW AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2014-12-11T18:11:36.000","2015-01-20T18:11:36.000","FRANKFORD","14-00927257","MD","CLOSED","2014-12-12T19:11:53.000",NA,"21206",NA,NA,NA
NA,"5504  CRAIG AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2014-12-08T13:54:24.000","2015-01-17T13:54:24.000","MID-GOVANS","14-00916980","MD","CLOSED","2015-01-14T12:07:55.000",NA,"21212",NA,NA,NA
"Dispatch lighting Inspector","2533  SALEM ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2014-12-04T19:51:19.000","2015-01-13T19:51:19.000","PENN NORTH","14-00910720","MD","CLOSED","2014-12-09T13:25:59.000","2014-12-09T13:25:00.000","21217",NA,NA,NA
"Dispatch lighting Inspector","4101  SUNNYSIDE AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2014-12-02T12:06:41.000","2015-01-11T12:06:41.000","REISTERSTOWN STATION","14-00902208","MD","CLOSED","2014-12-05T12:11:53.000","2014-12-03T12:00:00.000","21215",NA,NA,NA
NA,"540 S LEHIGH ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2014-12-02T02:06:36.000","2015-01-11T02:06:36.000","GREEKTOWN","14-00901690","MD","CLOSED","2014-12-03T13:33:02.000",NA,"21224",NA,NA,NA
NA,"1745  CLIFTVIEW AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2014-11-27T11:34:25.000","2015-01-06T11:34:25.000","DARLEY PARK","14-00891775","MD","CLOSED","2015-03-04T12:29:04.000",NA,"21213",NA,NA,NA
"Dispatch lighting Inspector","2504  HURON ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2014-11-21T14:21:33.000","2014-12-31T14:21:33.000","MOUNT WINANS","14-00878675","MD","CLOSED","2015-01-14T12:36:42.000","2014-11-24T11:52:00.000","21230",NA,NA,NA
NA,"1516  KINGSWAY RD","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2014-11-20T17:05:20.000","2014-12-30T17:05:20.000","HILLEN","14-00876333","MD","CLOSED","2015-03-04T11:59:37.000",NA,"21218",NA,NA,NA
"Dispatch lighting Inspector","639 N EUTAW ST","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2014-11-18T20:21:07.000","2014-12-28T20:21:07.000","MOUNT VERNON","14-00870425","MD","CLOSED","2014-11-24T13:02:49.000","2014-11-19T12:31:00.000","21201",NA,NA,NA
"Dispatch lighting Inspector","3608  BUENA VISTA AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2014-11-17T02:08:03.000","2014-12-27T02:08:03.000","HAMPDEN","14-00864272","MD","CLOSED","2015-01-14T13:52:36.000","2014-11-19T12:12:00.000","21211",NA,NA,NA
"Dispatch lighting Inspector","1708 W ROGERS AVE","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-11-14T18:57:10.000","2014-12-24T18:57:10.000","MOUNT WASHINGTON","14-00861354","MD","CLOSED","2015-01-28T18:13:44.000","2015-01-28T18:13:00.000","21209",NA,NA,NA
NA,"500  MCMECHEN ST","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-11-14T14:29:16.000","2014-12-24T14:29:16.000","UPTON","14-00860273","MD","CLOSED","2014-11-14T15:48:58.000",NA,"21217",NA,NA,NA
NA,"225  HOLLIDAY ST","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-11-14T12:42:12.000","2014-12-24T12:42:12.000","DOWNTOWN","14-00859784","MD","CLOSED","2015-01-14T17:58:46.000",NA,"21202",NA,NA,NA
NA,"1400  CARSWELL ST","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-11-13T12:55:11.000","2014-12-23T12:55:11.000","COLDSTREAM HOMESTEAD MONTEBELLO","14-00856844","MD","CLOSED","2014-11-17T12:43:11.000",NA,"21218",NA,NA,NA
NA,"1317  WEBSTER ST","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-11-11T20:21:47.000","2014-12-21T20:21:47.000","RIVERSIDE","14-00852010","MD","O-PENDNG","2015-01-05T16:33:01.000",NA,"21230",NA,NA,NA
NA,"831  GLENWOOD AVE","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-11-10T15:04:41.000","2014-12-20T15:04:41.000","WOODBOURNE-MCCABE","14-00848039","MD","CLOSED","2015-03-16T12:21:02.000",NA,"21212",NA,NA,NA
"Dispatch lighting Inspector","3641  ELM AVE","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-11-09T21:13:20.000","2014-12-19T21:13:20.000","HAMPDEN","14-00846349","MD","CLOSED","2015-03-09T11:56:26.000","2015-03-09T11:56:00.000","21211",NA,NA,NA
"Dispatch lighting Inspector","1112  CEDARCROFT RD","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-11-06T18:55:40.000","2014-12-16T18:55:40.000","GLEN OAKS","14-00839077","MD","CLOSED","2015-02-03T13:13:15.000","2015-02-02T12:24:00.000","21239",NA,NA,NA
NA,"1112  CEDARCROFT RD","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-11-06T18:53:33.000","2014-12-16T18:53:33.000","GLEN OAKS","14-00839060","MD","CLOSED","2014-11-12T18:46:17.000",NA,"21239",NA,NA,NA
