"activity","address","city","code","codedescription","createddate","duedate","neighborhood","outcome","servicerequestnum","state","status","statusdate","updateddate","zip","lon","lat"
"Dispatch Work Crew","305 W MONUMENT ST","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-20T11:38:20.000","2015-04-20T11:38:20.000","MOUNT VERNON","Debris Removed (Closed)","15-00306851","MD","CLOSED","2015-04-20T17:40:24.000","2015-04-20T17:40:00.000","21201",NA,NA
NA,"W 41ST ST & FALLS RD","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-19T15:24:22.000","2015-04-19T15:24:22.000","HAMPDEN",NA,"15-00305993","MD","CLOSED","2015-04-19T18:46:50.000",NA,"21211",NA,NA
"Dispatch Work Crew","FALLS RD &W 41ST ST","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-18T23:17:57.000","2015-04-18T23:17:57.000","HAMPDEN","No Trouble Found (Closed)","15-00305549","MD","CLOSED","2015-04-18T23:39:01.000","2015-04-18T23:38:00.000","21211",NA,NA
"Dispatch Work Crew","I 83 S &W NORTH AVE","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-18T19:01:44.000","2015-04-18T19:01:44.000","BOLTON HILL","Debris Removed (Closed)","15-00305315","MD","CLOSED","2015-04-21T17:27:48.000","2015-04-21T17:27:00.000","21217",NA,NA
"Dispatch Work Crew","PERRING MANOR RD & MCCLEAN BLVD","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-16T10:29:00.000","2015-04-16T10:29:00.000","HARFORD-ECHODALE/PERRING PARKWAY","No Trouble Found (Closed)","15-00297212","MD","CLOSED","2015-04-16T14:06:47.000","2015-04-16T14:06:00.000","21234",NA,NA
"Dispatch Work Crew","4400  83  N","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-14T16:30:41.000","2015-04-14T16:30:41.000","MEDFIELD","No Trouble Found (Closed)","15-00291514","MD","CLOSED","2015-04-14T21:35:24.000","2015-04-14T21:35:00.000","21209",NA,NA
NA,"1500  83  S","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-14T12:07:56.000","2015-04-14T12:07:56.000","MID-TOWN BELVEDERE",NA,"15-00290202","MD","DUPCLOSD","2015-04-15T16:48:32.000",NA,"21201",NA,NA
"Dispatch Work Crew","1500  83  S","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-14T10:38:51.000","2015-04-14T10:38:51.000","MID-TOWN BELVEDERE","Debris Removed (Closed)","15-00289739","MD","CLOSED","2015-04-15T16:48:33.000","2015-04-15T16:48:00.000","21201",NA,NA
"Dispatch Work Crew","E NORTHERN PKWY & CHINQUAPIN PKWY","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-14T10:32:09.000","2015-04-14T10:32:09.000","GLEN OAKS","Debris Removed (Closed)","15-00289723","MD","CLOSED","2015-04-14T14:23:01.000","2015-04-14T14:22:00.000","21239",NA,NA
"Dispatch Work Crew","5100  EDMONDSON AVE","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-13T15:16:56.000","2015-04-13T15:16:56.000","WESTGATE","Debris Removed (Closed)","15-00287247","MD","CLOSED","2015-04-13T21:38:50.000","2015-04-13T21:38:00.000","21229",NA,NA
