"","latitude","longitude","deathdate","ptype","druginv","alcinv","accdate"
"136","39.34468333","-76.55776667","0","1","8","0","2142001"
"137","39.34468333","-76.55776667","2142001","2","8","8","2142001"
"138","39.34468333","-76.55776667","0","2","8","8","2142001"
"139","39.34468333","-76.55776667","0","2","8","8","2142001"
"140","39.27541111","-76.64208056","8042001","1","8","8","8042001"
"141","39.27541111","-76.64208056","0","2","8","8","8042001"
"142","39.27541111","-76.64208056","0","1","8","8","8042001"
"143","39.30189167","-76.70908056","8282001","1","8","8","8282001"
"144","39.30189167","-76.70908056","0","1","8","8","8282001"
"145","39.28834722","-76.60478611","9302001","1","8","0","9012001"
"146","39.28834722","-76.60478611","0","1","8","0","9012001"
"147","39.34763333","-76.65945278","9242001","1","8","8","9242001"
"148","39.34763333","-76.65945278","0","2","8","8","9242001"
"149","39.34763333","-76.65945278","0","2","8","8","9242001"
"150","39.34763333","-76.65945278","0","2","8","8","9242001"
"151","39.32082222","-76.56911667","3232002","5","8","0","3222002"
"152","39.32082222","-76.56911667","0","1","8","0","3222002"
"153","39.31275","-76.60175556","4072002","5","0","0","4072002"
"154","39.31275","-76.60175556","0","1","8","0","4072002"
"155","39.21511111","-76.58751111","0","2","8","8","1162002"
"156","39.21511111","-76.58751111","1162002","1","8","0","1162002"
"157","39.33300833","-76.70058889","4102002","1","8","8","4022002"
"158","39.27309167","-76.55413889","0","1","8","0","4232002"
"159","39.27309167","-76.55413889","0","1","8","0","4232002"
"160","39.27309167","-76.55413889","4232002","2","8","8","4232002"
"161","39.26209444","-76.56876944","0","2","8","8","5182002"
"162","39.26209444","-76.56876944","5182002","2","8","8","5182002"
"163","39.26209444","-76.56876944","0","2","8","8","5182002"
"164","39.26209444","-76.56876944","0","2","0","8","5182002"
"165","39.26209444","-76.56876944","0","1","8","0","5182002"
"166","39.30936667","-76.53854167","0","1","8","0","7072002"
"167","39.30936667","-76.53854167","0","2","8","8","7072002"
"168","39.30936667","-76.53854167","0","2","8","8","7072002"
"169","39.30936667","-76.53854167","7072002","2","0","0","7072002"
"170","39.30936667","-76.53854167","7072002","2","0","0","7072002"
"171","39.36935278","-76.58381667","5232002","1","8","0","5232002"
"172","39.28042778","-76.57108889","6102002","1","8","0","6102002"
"173","39.32673056","-76.65816667","6292002","5","8","8","6282002"
"174","39.32673056","-76.65816667","0","1","8","1","6282002"
"175","39.32673056","-76.65816667","0","2","8","8","6282002"
"176","39.29339444","-76.63401389","6122002","1","8","8","6122002"
"177","39.29168333","-76.62748056","8212002","2","8","8","8212002"
"178","39.29168333","-76.62748056","0","1","8","1","8212002"
"179","39.30625833","-76.57296944","7122002","1","8","1","7122002"
"180","39.30625833","-76.57296944","7122002","2","8","8","7122002"
"181","39.30625833","-76.57296944","0","2","8","8","7122002"
"182","39.30625833","-76.57296944","7122002","2","8","8","7122002"
"183","39.34257222","-76.53985556","7172002","1","8","8","7172002"
"184","39.28665278","-76.61210556","0","1","8","0","7252002"
"185","39.28665278","-76.61210556","0","2","8","8","7252002"
"186","39.28665278","-76.61210556","0","1","8","0","7252002"
"187","39.28665278","-76.61210556","0","2","8","8","7252002"
"188","39.28665278","-76.61210556","7252002","2","8","8","7252002"
"189","39.30409167","-76.67345278","9062002","1","8","0","8282002"
"190","39.28589167","-76.59353056","0","1","8","0","10282002"
"191","39.28589167","-76.59353056","10282002","1","8","8","10282002"
"192","39.28589167","-76.59353056","0","2","8","8","10282002"
"193","39.33104167","-76.63489444","11082002","5","8","0","11082002"
"194","39.33104167","-76.63489444","0","1","8","0","11082002"
"195","39.29403333","-76.67831389","1052002","5","8","1","1052002"
"196","39.29403333","-76.67831389","0","1","8","9","1052002"
"197","39.342975","-76.653825","0","1","8","0","3062002"
"198","39.342975","-76.653825","0","1","8","8","3062002"
"199","39.342975","-76.653825","3062002","2","8","0","3062002"
"200","39.29288056","-76.62112222","5192002","1","8","0","5152002"
"201","39.29288056","-76.62112222","0","1","8","0","5152002"
"202","39.29288056","-76.62112222","0","1","8","0","5152002"
"203","39.29386111","-76.68160278","6072002","5","8","0","6072002"
"204","39.29386111","-76.68160278","0","1","8","0","6072002"
"205","39.30718611","-76.668375","6302002","2","8","8","6302002"
"206","39.30718611","-76.668375","0","1","8","1","6302002"
"207","39.32174167","-76.55274444","6302002","1","8","8","6302002"
"208","39.32174167","-76.55274444","0","2","8","8","6302002"
"209","39.32174167","-76.55274444","0","2","8","8","6302002"
"210","39.32174167","-76.55274444","0","2","8","8","6302002"
"211","39.32174167","-76.55274444","0","1","8","0","6302002"
"212","39.32174167","-76.55274444","0","2","8","8","6302002"
"213","39.28601389","-76.668125","7292002","1","8","1","7112002"
"214","39.28601389","-76.668125","0","1","8","0","7112002"
"215","39.25791389","-76.63662222","0","1","8","8","5272002"
"216","39.25791389","-76.63662222","5272002","2","8","8","5272002"
"217","39.25791389","-76.63662222","0","2","8","8","5272002"
"218","39.25791389","-76.63662222","0","2","8","8","5272002"
"219","39.25791389","-76.63662222","0","2","8","8","5272002"
"220","39.25791389","-76.63662222","0","2","8","8","5272002"
"221","39.25791389","-76.63662222","0","1","8","0","5272002"
"222","39.25791389","-76.63662222","0","2","8","8","5272002"
"223","39.30775278","-76.63961389","5032002","5","1","0","5022002"
"224","39.30775278","-76.63961389","0","1","8","8","5022002"
"225","39.31193056","-76.60087222","8282002","5","8","8","8162002"
"226","39.31193056","-76.60087222","0","1","8","0","8162002"
"227","39.31193056","-76.60087222","0","2","8","8","8162002"
"228","39.31193056","-76.60087222","0","2","8","8","8162002"
"229","39.29366667","-76.65255556","8272002","1","8","8","8272002"
"230","39.34674167","-76.67254167","9272002","5","8","0","9182002"
"231","39.34674167","-76.67254167","0","1","8","0","9182002"
"232","39.35092222","-76.68748333","9242002","5","8","8","9242002"
"233","39.35092222","-76.68748333","0","1","8","0","9242002"
"234","39.325125","-76.63469167","10062002","1","8","8","10062002"
"235","39.28717778","-76.61485278","10292002","5","8","1","10262002"
"236","39.28717778","-76.61485278","0","1","8","0","10262002"
"237","39.29239722","-76.57333611","4102002","6","8","0","4102002"
"238","39.29239722","-76.57333611","0","1","8","0","4102002"
"239","39.29908889","-76.63870833","0","1","8","0","8212002"
"240","39.29908889","-76.63870833","0","2","8","8","8212002"
"241","39.29908889","-76.63870833","8212002","1","8","0","8212002"
"242","39.28350556","-76.62610833","8222002","5","8","8","8222002"
"243","39.28350556","-76.62610833","0","1","8","1","8222002"
"244","39.34699167","-76.659775","0","1","8","0","10092002"
"245","39.34699167","-76.659775","10092002","1","8","0","10092002"
"246","39.35184722","-76.60975","0","1","8","0","10192002"
"247","39.35184722","-76.60975","0","2","8","8","10192002"
"248","39.35184722","-76.60975","10192002","2","8","8","10192002"
"249","39.35184722","-76.60975","0","2","8","8","10192002"
"250","39.35184722","-76.60975","0","1","8","0","10192002"
"251","39.35184722","-76.60975","0","2","8","8","10192002"
"252","39.2571","-76.6375","12242002","1","8","1","12132002"
"253","39.57848056","-76.11096389","0","1","8","0","1022003"
"254","39.57848056","-76.11096389","0","1","8","0","1022003"
"255","39.57848056","-76.11096389","1022003","5","8","8","1022003"
"256","39.57848056","-76.11096389","0","1","8","0","1022003"
"257",".",".",".",".",".",".","."
"258","39.46664167","-76.28648611","1032003","5","8","8","1032003"
