"address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","zip","activity","outcome","updateddate","i","lon","lat"
"5911  WESTERN RUN DR","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-06-15T16:59:23.000","2015-06-19T16:59:23.000","CHESWOLDE","15-00464722","MD","CLOSED","2015-06-16T07:16:07.000","21209",NA,NA,NA,9,-76.6782425,39.3622336
"BENHURST RD & W STRATHMORE AVE, BALTIMOR",NA,"BGESTLI1","BGE-StLight(s) Out","2015-06-29T00:48:35.000","2015-07-03T00:48:35.000","CHESWOLDE","15-00505851","MD","CLOSED","2015-06-30T05:16:24.000",NA,NA,NA,NA,9,-76.6893204,39.3658428
"100 S WOLFE ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-07-13T10:42:45.000","2015-07-17T10:42:45.000","UPPER FELLS POINT","15-00547580","MD","CLOSED","2015-07-14T02:55:13.000","21231",NA,NA,NA,9,-76.590626,39.290197
"1900 E 31ST ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-05-27T00:25:40.000","2015-05-31T00:25:40.000","COLDSTREAM HOMESTEAD MONTEBELLO","15-00410302","MD","CLOSED","2015-05-27T04:49:40.000","21218",NA,NA,NA,9,-76.5891511,39.3265921
"1344  LIMIT AVE","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-05-14T18:33:15.000","2015-05-18T18:33:15.000","IDLEWOOD","15-00379718","MD","CLOSED","2015-05-15T06:43:32.000","21239",NA,NA,NA,9,-76.5888159,39.371995
"3100  BATAVIA AVE","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-07-11T01:03:42.000","2015-07-15T01:03:42.000","WALTHERSON","15-00544713","MD","CLOSED","2015-07-14T07:29:47.000","21214",NA,NA,NA,9,-76.562746,39.3486199
"1410 N ELLWOOD AVE","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-07-13T17:27:23.000","2015-07-17T17:27:23.000","BEREA","15-00550123","MD","CLOSED","2015-07-15T08:24:45.000","21213",NA,NA,NA,9,-76.57414,39.307603
"5920  CROSS COUNTRY BLVD","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-07-15T17:13:12.000","2015-07-19T17:13:12.000","MOUNT WASHINGTON","15-00557705","MD","CLOSED","2015-07-16T06:45:01.000","21215",NA,NA,NA,9,-76.6808528,39.3618965
"5676  LAURELTON AVE","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-06-04T04:42:04.000","2015-06-08T04:42:04.000","HARFORD-ECHODALE/PERRING PARKWAY","15-00434950","MD","CLOSED","2015-06-04T04:43:36.000","21214",NA,NA,NA,9,-76.5671376,39.3591739
"1 S CALVERT ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-07-21T11:51:28.000","2015-07-25T11:51:28.000","DOWNTOWN","15-00572781","MD","CLOSED","2015-07-22T02:45:04.000","21202",NA,NA,NA,9,-76.6122796,39.2896417
"2740  KINSEY AVE","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-06-26T22:03:36.000","2015-06-30T22:03:36.000","SHIPLEY HILL","15-00503006","MD","CLOSED","2015-06-29T05:10:56.000","21223",NA,NA,NA,9,-76.6602551,39.2879759
"1909  LYDONLEA WAY","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-06-03T14:22:59.000","2015-06-07T14:22:59.000","LOCH RAVEN","15-00433098","MD","CLOSED","2015-06-04T05:13:57.000","21239",NA,NA,NA,9,-76.5782606,39.3600256
"2200  LONGVIEW AVE","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-07-06T15:48:01.000","2015-07-10T15:48:01.000","FOUR BY FOUR","15-00528396","MD","DUPCLOSD","2015-07-07T05:40:17.000","21213",NA,NA,NA,9,-76.5744787,39.3164936
"2800  FREDERICK AVE","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-07-06T12:15:00.000","2015-07-10T12:15:00.000","CARROLL-SOUTH HILTON","15-00526905","MD","CLOSED","2015-07-08T04:30:47.000","21223",NA,NA,NA,9,-76.661738,39.280311
"W SARATOGA ST & N CHARLES ST, BALTIMORE,",NA,"BGESTLI1","BGE-StLight(s) Out","2015-06-14T00:06:44.000","2015-06-18T00:06:44.000","DOWNTOWN","15-00461244","MD","CLOSED","2015-06-15T05:10:59.000",NA,NA,NA,NA,9,-76.6339841,39.2924735
"6303  MCCLEAN BLVD","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-07-02T01:59:09.000","2015-07-06T01:59:09.000","HARFORD-ECHODALE/PERRING PARKWAY","15-00518481","MD","CLOSED","2015-07-02T06:31:09.000","21214",NA,NA,NA,9,-76.568306,39.363421
"1200  AISQUITH ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-04-22T12:05:49.000","2015-04-26T12:05:49.000","OLIVER","15-00313724","MD","CLOSED","2015-05-13T09:19:21.000","21202",NA,NA,NA,9,-76.602395,39.30412
"1508  PENTWOOD RD","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-06-12T13:34:09.000","2015-06-16T13:34:09.000","STONEWOOD-PENTWOOD-WINSTON","15-00458007","MD","CLOSED","2015-06-13T08:46:38.000","21239",NA,NA,NA,9,-76.590548,39.34874
"642  CHARRAWAY RD","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-06-29T00:34:58.000","2015-07-03T00:34:58.000","BEECHFIELD","15-00505831","MD","DUPCLOSD","2015-06-29T17:01:57.000","21229",NA,NA,NA,9,-76.698055,39.274126
"2000 E MONUMENT ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-05-14T12:37:05.000","2015-05-18T12:37:05.000","MIDDLE EAST","15-00378020","MD","DUPCLOSD","2015-05-18T10:57:03.000","21205",NA,NA,NA,9,-76.5892394,39.2987011
"177 S HOWARD ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-08-03T15:45:32.000","2015-08-07T15:45:32.000","INNER HARBOR","15-00613043","MD","CLOSED","2015-08-03T16:41:50.000","21201",NA,NA,NA,9,-76.6191577,39.2863536
"1200  EDISON HWY","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-06-04T13:03:11.000","2015-06-08T13:03:11.000","BEREA","15-00436129","MD","CLOSED","2015-06-05T06:23:05.000","21213",NA,NA,NA,9,-76.5731246,39.3052209
"2405 E NORTHERN PKWY","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-05-28T06:39:47.000","2015-06-01T06:39:47.000","HARFORD-ECHODALE/PERRING PARKWAY","15-00414440","MD","CLOSED","2015-05-28T06:43:26.000","21234",NA,NA,NA,9,-76.564733,39.367196
"2415  SAINT PAUL ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-06-19T16:48:33.000","2015-06-23T16:48:33.000","BARCLAY","15-00479643","MD","CLOSED","2015-06-20T03:00:17.000","21218",NA,NA,NA,9,-76.614985,39.316899
"CATHEDRAL ST & W EAGER ST, BALTIMORE, MD","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-06-23T15:06:49.000","2015-06-27T15:06:49.000","MID-TOWN BELVEDERE","15-00489287","MD","CLOSED","2015-06-24T06:50:16.000",NA,NA,NA,NA,9,-83.2250776,42.3613753
"1002 E 33RD ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-07-25T02:09:22.000","2015-07-29T02:09:22.000","EDNOR GARDENS-LAKESIDE","15-00587883","MD","CLOSED","2015-07-25T03:01:45.000","21218",NA,NA,NA,9,-76.6017466,39.3285067
"4200  NICHOLAS AVE","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-07-03T00:29:51.000","2015-07-07T00:29:51.000","BELAIR-EDISON","15-00522332","MD","CLOSED","2015-07-04T03:51:02.000","21206",NA,NA,NA,9,-76.5640818,39.3292254
"914  KEVIN RD","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-07-27T01:44:22.000","2015-07-31T01:44:22.000","ROGNEL HEIGHTS","15-00591676","MD","CLOSED","2015-07-27T16:55:39.000","21229",NA,NA,NA,9,-76.688635,39.297159
"5913  EASTCLIFF DR","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-06-20T03:50:25.000","2015-06-24T03:50:25.000","MOUNT WASHINGTON","15-00481212","MD","CLOSED","2015-06-20T04:00:54.000","21209",NA,NA,NA,9,-76.662585,39.368972
"6206  IVYMOUNT RD","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-05-29T05:10:39.000","2015-06-02T05:10:39.000","CHESWOLDE","15-00418509","MD","CLOSED","2015-05-29T05:14:13.000","21209",NA,NA,NA,9,-76.671997,39.369559
"1500 E 33RD ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-05-20T00:39:52.000","2015-05-24T00:39:52.000","EDNOR GARDENS-LAKESIDE","15-00394236","MD","CLOSED","2015-05-21T09:21:51.000","21218",NA,NA,NA,9,-76.5942122,39.3285076
"325  MCMECHEN ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-05-19T15:56:11.000","2015-05-23T15:56:11.000","BOLTON HILL","15-00392763","MD","CLOSED","2015-05-20T05:14:10.000","21217",NA,NA,NA,9,-76.6295613,39.305568
"1616 N BENTALOU ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-05-15T21:19:50.000","2015-05-19T21:19:50.000","COPPIN HEIGHTS/ASH-CO-EAST","15-00383865","MD","CLOSED","2015-05-18T08:18:46.000","21216",NA,NA,NA,9,-76.654236,39.306795
"2100  CLIFTWOOD AVE","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-06-30T21:06:46.000","2015-07-04T21:06:46.000","SOUTH CLIFTON PARK","15-00514203","MD","CLOSED","2015-07-01T06:01:51.000","21213",NA,NA,NA,9,-76.58863,39.313804
"6408  WABASH AVE","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-07-21T14:23:29.000","2015-07-25T14:23:29.000","SETON BUSINESS PARK","15-00573965","MD","CLOSED","2015-07-22T04:56:25.000","21215",NA,NA,NA,9,-76.7034107,39.3507483
"2700  WILKENS AVE","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-06-17T12:36:06.000","2015-06-21T12:36:06.000","MILLHILL","15-00471406","MD","CLOSED","2015-06-18T06:20:26.000","21223",NA,NA,NA,9,-76.6589221,39.2782144
"1627  EASTERN AVE","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-05-27T14:03:00.000","2015-05-31T14:03:00.000","FELLS POINT","15-00412039","MD","CLOSED","2015-05-28T15:19:02.000","21231",NA,NA,NA,9,-76.5943158,39.2854223
"1 S HOWARD ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-05-18T12:02:07.000","2015-05-22T12:02:07.000","DOWNTOWN","15-00387583","MD","DUPCLOSD","2015-05-18T17:28:40.000","21201",NA,NA,NA,9,-76.6193507,39.289348
"6400  PULASKI HWY","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-07-30T13:29:26.000","2015-08-03T13:29:26.000","PULASKI INDUSTRIAL AREA","15-00602974","MD","DUPCLOSD","2015-07-31T04:19:43.000","21205",NA,NA,NA,9,-76.5416822,39.3038366
"2333  MADISON AVE","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-06-29T12:09:32.000","2015-07-03T12:09:32.000","RESERVOIR HILL","15-00506423","MD","CLOSED","2015-06-30T09:06:33.000","21217",NA,NA,NA,9,-76.6374553,39.3123745
"1200  RAMBLEWOOD RD","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-05-26T08:18:02.000","2015-05-30T08:18:02.000","RAMBLEWOOD","15-00406633","MD","CLOSED","2015-05-27T03:04:08.000","21239",NA,NA,NA,9,-76.593324,39.362797
"6817  STURBRIDGE DR","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-06-04T05:06:19.000","2015-06-08T05:06:19.000","HARFORD-ECHODALE/PERRING PARKWAY","15-00434956","MD","CLOSED","2015-06-04T05:07:49.000","21234",NA,NA,NA,9,-76.5625766,39.3684466
"5600  THE ALAMEDA","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-07-01T14:03:20.000","2015-07-05T14:03:20.000","GLEN OAKS","15-00516369","MD","CLOSED","2015-07-02T03:15:18.000","21239",NA,NA,NA,9,-76.5952548,39.3598677
"613  DOLPHIN ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-05-13T00:22:43.000","2015-05-17T00:22:43.000","UPTON","15-00372909","MD","CLOSED","2015-05-13T02:09:38.000","21217",NA,NA,NA,9,-76.6306195,39.2987596
