"activity","address","city","code","codedescription","createddate","duedate","neighborhood","outcome","servicerequestnum","state","status","statusdate","updateddate","zip","i","lon","lat"
"Dispatch Work Crew","SINCLAIR LN &N ROSE ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T19:00:50.000","2015-03-22T19:00:50.000","CLIFTON PARK","Abated - Close SR","15-00223632","MD","CLOSED","2015-03-21T13:12:40.000","2015-03-21T13:12:00.000","21213",2,-76.5587112,39.3156267
"Dispatch Work Crew","555 W 29TH ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T18:28:35.000","2015-03-22T18:28:35.000","REMINGTON","Abated - Close SR","15-00223523","MD","CLOSED","2015-03-21T13:24:40.000","2015-03-21T13:24:00.000","21211",2,-76.6260779,39.3205413
"Dispatch Work Crew","1 E UNIVERSITY PKWY","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T18:28:00.000","2015-03-22T18:28:00.000","CHARLES VILLAGE","Abated - Close SR","15-00223520","MD","CLOSED","2015-03-21T14:19:21.000","2015-03-21T14:19:00.000","21218",2,-76.6168556,39.3313549
"Dispatch Work Crew","400 W UNIVERSITY PKWY","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T18:25:16.000","2015-03-22T18:25:16.000","TUSCANY-CANTERBURY","Abated - Close SR","15-00223505","MD","CLOSED","2015-03-21T14:10:06.000","2015-03-21T14:00:00.000","21210",2,-76.6233544,39.3361861
"Dispatch Work Crew","100 W UNIVERSITY PKWY","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T18:23:43.000","2015-03-22T18:23:43.000","TUSCANY-CANTERBURY","Abated - Close SR","15-00223492","MD","CLOSED","2015-03-21T13:25:22.000","2015-03-21T13:25:00.000","21210",2,-76.620687,39.334798
"Dispatch Work Crew","AISQUITH ST & DARLEY AVE","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T18:20:47.000","2015-03-22T18:20:47.000","EAST BALTIMORE MIDWAY","Abated - Close SR","15-00223466","MD","CLOSED","2015-03-21T15:13:10.000","2015-03-21T15:12:00.000","21218",2,-76.602235,39.3053328
"Dispatch Work Crew","700  NORTH POINT RD","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T17:53:12.000","2015-03-22T17:53:12.000","PULASKI INDUSTRIAL AREA","Abated - Close SR","15-00223335","MD","CLOSED","2015-03-21T12:44:57.000","2015-03-21T12:44:00.000","21224",2,-76.5136027,39.2911204
"Dispatch Work Crew","23 N FULTON AVE","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T17:41:59.000","2015-03-22T17:41:59.000","FRANKLIN SQUARE","Abated - Close SR","15-00223256","MD","CLOSED","2015-03-21T13:42:05.000","2015-03-21T13:41:00.000","21223",2,-76.644954,39.288945
"Dispatch Work Crew","6635  BELAIR RD","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T17:06:36.000","2015-03-22T17:06:36.000","CEDMONT","Abated - Close SR","15-00223059","MD","CLOSED","2015-03-21T13:03:02.000","2015-03-21T13:02:00.000","21206",2,-76.5302855,39.3545463
"Dispatch Work Crew","W FRANKLIN ST & PENNSYLVANIA AVE","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T16:56:45.000","2015-03-22T16:56:45.000","SETON HILL","Abated - Close SR","15-00222996","MD","CLOSED","2015-03-21T13:56:14.000","2015-03-21T13:55:00.000","21201",2,-76.6405763,39.2940979
"Dispatch Work Crew","3900  LYNDALE AVE","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T16:52:34.000","2015-03-22T16:52:34.000","BELAIR-EDISON","Abated - Close SR","15-00222973","MD","CLOSED","2015-03-21T13:05:53.000","2015-03-21T13:05:00.000","21213",2,-76.56088,39.31817
"Dispatch Work Crew","2800  ELLICOTT DWY","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T16:36:24.000","2015-03-22T16:36:24.000","WINCHESTER","Abated - Close SR","15-00222912","MD","CLOSED","2015-03-23T16:55:44.000","2015-03-23T16:55:00.000","21216",2,-76.7805844,39.2736854
"Dispatch Work Crew","1400 N ELLAMONT ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T16:30:35.000","2015-03-22T16:30:35.000","ROSEMONT","Abated - Close SR","15-00222896","MD","CLOSED","2015-03-21T13:54:00.000","2015-03-21T13:53:00.000",NA,2,-76.6706325,39.3036325
"Dispatch Work Crew","1400 N ROSEDALE ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T16:25:23.000","2015-03-22T16:25:23.000","ROSEMONT","Abated - Close SR","15-00222873","MD","CLOSED","2015-03-21T15:10:22.000","2015-03-21T15:00:00.000","21216",2,-76.669314,39.30375
"Dispatch Work Crew","N WARWICK AVE &W BALTIMORE ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T16:09:19.000","2015-03-22T16:09:19.000","SHIPLEY HILL","Abated - Close SR","15-00222810","MD","CLOSED","2015-03-21T13:45:49.000","2015-03-21T13:45:00.000","21223",2,-87.5110472,41.6828379
"Dispatch Work Crew","6824  HARFORD RD","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T16:08:37.000","2015-03-22T16:08:37.000","NORTH HARFORD ROAD","Abated - Close SR","15-00222809","MD","CLOSED","2015-03-21T15:17:07.000","2015-03-21T15:16:00.000","21234",2,-76.5507219,39.365176
"Dispatch Work Crew","LIBERTY HEIGHTS AVE & AUCHENTOROLY TER","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T15:24:33.000","2015-03-22T15:24:33.000","PARKVIEW/WOODBROOK","Abated - Close SR","15-00222676","MD","CLOSED","2015-03-21T16:45:00.000","2015-03-21T16:44:00.000","21215",2,-76.6824045,39.3273606
"Dispatch Work Crew","2300 S HANOVER ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T15:21:14.000","2015-03-22T15:21:14.000","SPRING GARDEN INDUSTRIAL AREA","Abated - Close SR","15-00222662","MD","CLOSED","2015-03-21T13:40:22.000","2015-03-21T13:40:00.000","21230",2,-76.6146874,39.2639034
"Dispatch Work Crew","5820  WELBOURNE RD","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T14:51:59.000","2015-03-22T14:51:59.000","LOCH RAVEN","Abated - Close SR","15-00222551","MD","CLOSED","2015-03-21T13:26:24.000","2015-03-21T13:26:00.000","21239",2,-76.5833496,39.3596875
"Dispatch Work Crew","CRAIG AVE & BEAUMONT AVE","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T14:50:59.000","2015-03-22T14:50:59.000","WINSTON-GOVANS","Abated - Close SR","15-00222543","MD","CLOSED","2015-03-21T13:25:12.000","2015-03-21T13:24:00.000","21212",2,-95.6207677,44.23881
"Dispatch Work Crew","LOCH RAVEN BLVD & THE ALAMEDA","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T14:16:59.000","2015-03-22T14:16:59.000","EDNOR GARDENS-LAKESIDE","Abated - Close SR","15-00222405","MD","CLOSED","2015-03-21T13:27:37.000","2015-03-21T13:27:00.000","21218",2,-76.5859898,39.3650581
"Dispatch Work Crew","THE ALAMEDA &E 35TH ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T14:14:18.000","2015-03-22T14:14:18.000","EDNOR GARDENS-LAKESIDE","Abated - Close SR","15-00222396","MD","CLOSED","2015-03-25T14:00:07.000","2015-03-25T14:00:00.000","21218",2,-122.2416355,37.7652065
"Dispatch Work Crew","W BALTIMORE ST &S PAYSON ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T14:12:56.000","2015-03-22T14:12:56.000","BOOTH-BOYD","Abated - Close SR","15-00222388","MD","CLOSED","2015-03-21T13:44:42.000","2015-03-21T13:44:00.000","21223",2,-88.1542236,41.3052771
"Dispatch Work Crew","3500  EDMONDSON AVE","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T13:59:02.000","2015-03-22T13:59:02.000","EDMONDSON VILLAGE","Abated - Close SR","15-00222348","MD","CLOSED","2015-03-21T13:42:48.000","2015-03-21T13:42:00.000","21229",2,-76.675843,39.2943489
"Dispatch Work Crew","3900 W STRATHMORE AVE","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T13:44:28.000","2015-03-22T13:44:28.000","GLEN","Abated - Close SR","15-00222307","MD","CLOSED","2015-03-21T15:10:19.000","2015-03-21T15:10:00.000","21215",2,-76.6967,39.356265
"Dispatch Work Crew","913  SAINT PAUL ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T13:34:41.000","2015-03-22T13:34:41.000","MOUNT VERNON","Abated - Close SR","15-00222286","MD","CLOSED","2015-03-20T16:18:57.000","2015-03-20T16:18:00.000","21202",2,-76.61389,39.300211
"Dispatch Work Crew","500 E 39TH ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T13:22:38.000","2015-03-22T13:22:38.000","PEN LUCY","Abated - Close SR","15-00222236","MD","CLOSED","2015-03-21T14:16:24.000","2015-03-21T14:16:00.000","21218",2,-76.6092444,39.3366363
"Dispatch Work Crew","3600 S HANOVER ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T12:56:41.000","2015-03-22T12:56:41.000","BROOKLYN","Abated - Close SR","15-00222136","MD","CLOSED","2015-03-21T13:38:16.000","2015-03-21T13:37:00.000","21225",2,-76.6098396,39.23842
"Dispatch Work Crew","3916 S HANOVER ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T12:54:50.000","2015-03-22T12:54:50.000","BROOKLYN","Abated - Close SR","15-00222128","MD","CLOSED","2015-03-21T13:39:21.000","2015-03-21T13:39:00.000","21225",2,-76.611684,39.234914
"Dispatch Work Crew","6605  EASTERN PKWY","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T12:53:12.000","2015-03-22T12:53:12.000","WESTFIELD","Abated - Close SR","15-00222122","MD","CLOSED","2015-03-21T13:20:52.000","2015-03-21T13:20:00.000","21214",2,-76.5455,39.35966
"Dispatch Work Crew","6615  EASTERN PKWY","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T12:52:18.000","2015-03-22T12:52:18.000","WESTFIELD","Abated - Close SR","15-00222118","MD","CLOSED","2015-03-21T13:23:47.000","2015-03-21T13:23:00.000","21214",2,-76.545141,39.360286
"Dispatch Work Crew","E NORTHERN PKWY & ALTA AVE","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T12:52:07.000","2015-03-22T12:52:07.000","WESTFIELD","Abated - Close SR","15-00222117","MD","CLOSED","2015-03-21T13:16:16.000","2015-03-21T13:15:00.000","21206",2,-76.5791369,39.3675727
"Dispatch Work Crew","4400  MOUNTVIEW RD","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T12:46:39.000","2015-03-22T12:46:39.000","UPLANDS","Abated - Close SR","15-00222104","MD","CLOSED","2015-03-21T13:47:54.000","2015-03-21T13:47:00.000","21229",2,-76.690419,39.28684
"Dispatch Work Crew","500  JASPER ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T12:38:04.000","2015-03-22T12:38:04.000","SETON HILL","Abated - Close SR","15-00222042","MD","CLOSED","2015-03-21T13:54:53.000","2015-03-21T13:54:00.000","21201",2,-76.6219677,39.2948814
"Dispatch Work Crew","2600  FREDERICK AVE","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T12:17:34.000","2015-03-22T12:17:34.000","SHIPLEY HILL","Abated - Close SR","15-00221900","MD","CLOSED","2015-03-21T13:53:15.000","2015-03-21T13:52:00.000","21223",2,-76.6574565,39.2826257
"Dispatch Work Crew","2800  FREDERICK AVE","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T12:13:22.000","2015-03-22T12:13:22.000","CARROLL-SOUTH HILTON","Abated - Close SR","15-00221886","MD","CLOSED","2015-03-21T13:51:34.000","2015-03-21T13:50:00.000","21223",2,-76.661738,39.280311
"Dispatch Work Crew","3012  ROYSTON AVE","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T12:12:47.000","2015-03-22T12:12:47.000","WESTFIELD","Abated - Close SR","15-00221884","MD","CLOSED","2015-03-21T16:22:34.000","2015-03-21T16:22:00.000","21214",2,-76.554514,39.3588499
"Dispatch Work Crew","1500 W PRATT ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T12:12:22.000","2015-03-22T12:12:22.000","UNION SQUARE","Abated - Close SR","15-00221883","MD","CLOSED","2015-03-21T15:52:39.000","2015-03-21T15:52:00.000","21223",2,-76.6410679,39.285535
"Dispatch Work Crew","1300 W PRATT ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T12:04:02.000","2015-03-22T12:04:02.000","UNION SQUARE","Abated - Close SR","15-00221850","MD","CLOSED","2015-03-21T15:52:02.000","2015-03-21T15:51:00.000","21223",2,-76.6379934,39.2855915
"Dispatch Work Crew","4900  GREENHILL AVE","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T11:48:15.000","2015-03-22T11:48:15.000","FRANKFORD","Abated - Close SR","15-00221788","MD","CLOSED","2015-03-21T14:54:29.000","2015-03-21T14:53:00.000","21206",2,-76.5535823,39.3335322
"Dispatch Work Crew","EDMONDSON AVE & ALLENDALE ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T11:11:29.000","2015-03-22T11:11:29.000","EDMONDSON VILLAGE","Abated - Close SR","15-00221625","MD","CLOSED","2015-03-20T14:30:19.000","2015-03-20T14:30:00.000","21229",2,-76.7051535,39.2908485
"Dispatch Work Crew","1003 W CHASE ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T10:19:45.000","2015-03-22T10:19:45.000","MID-TOWN BELVEDERE","Abated - Close SR","15-00221508","MD","CLOSED","2015-03-20T19:16:34.000","2015-03-20T19:15:00.000","21201",2,-76.6034716,39.3028698
"Dispatch Work Crew","4601 N FRANKLINTOWN RD","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T05:21:06.000","2015-03-22T05:21:06.000","HUNTING RIDGE","Abated - Close SR","15-00221431","MD","CLOSED","2015-03-20T11:55:48.000","2015-03-20T11:55:00.000","21229",2,-76.694991,39.300172
"Dispatch Work Crew","231 E BALTIMORE ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T02:37:14.000","2015-03-22T02:37:14.000","DOWNTOWN","Abated - Close SR","15-00221390","MD","CLOSED","2015-03-20T16:48:25.000","2015-03-20T16:48:00.000","21202",2,-76.611183,39.289436
NA,"3765  HARFORD RD","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T02:20:59.000","2015-03-22T02:20:59.000","HERRING RUN PARK",NA,"15-00221386","MD","DUPCLOSD","2015-03-21T13:29:13.000",NA,"21218",2,-76.5777866,39.3326802
"Dispatch Work Crew","930  PONCA ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T01:56:37.000","2015-03-22T01:56:37.000","GREEKTOWN","Abated - Close SR","15-00221381","MD","CLOSED","2015-03-20T16:52:05.000","2015-03-20T16:51:00.000","21224",2,-76.554896,39.282231
"Dispatch Work Crew","4710  O'DONNELL ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T01:54:29.000","2015-03-22T01:54:29.000","GREEKTOWN","Abated - Close SR","15-00221377","MD","CLOSED","2015-03-20T18:34:58.000","2015-03-20T18:34:00.000","21224",2,-76.5546784,39.2809871
"Dispatch Work Crew","400 S BOULDIN ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T01:50:44.000","2015-03-22T01:50:44.000","HIGHLANDTOWN","Abated - Close SR","15-00221374","MD","CLOSED","2015-03-20T17:03:14.000","2015-03-20T17:02:00.000","21224",2,-76.5709896,39.287358
"Dispatch Work Crew","FOREST GLEN RD & NORFOLK AVE","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T01:13:04.000","2015-03-22T01:13:04.000","WEST FOREST PARK","Abated - Close SR","15-00221366","MD","CLOSED","2015-03-21T14:42:38.000","2015-03-21T14:42:00.000","21207",2,-88.1810563,43.7975051
"Dispatch Work Crew","1201  SABINA AVE","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T00:59:54.000","2015-03-22T00:59:54.000","SABINA-MATTFELDT","Abated - Close SR","15-00221361","MD","CLOSED","2015-03-21T14:11:15.000","2015-03-21T14:11:00.000","21209",2,-76.6470766,39.3619319
"Dispatch Work Crew","3200  PINKNEY RD","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T00:59:22.000","2015-03-22T00:59:22.000","CROSS COUNTRY","Abated - Close SR","15-00221360","MD","CLOSED","2015-03-21T09:03:40.000","2015-03-21T09:03:00.000","21215",2,-76.689558,39.362153
"Dispatch Work Crew","6100  CARDIFF AVE","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-19T23:55:43.000","2015-03-21T23:55:43.000","MEDFORD","Abated - Close SR","15-00221305","MD","CLOSED","2015-03-20T16:32:23.000","2015-03-20T16:32:00.000","21224",2,-76.5434055,39.2764492
"Dispatch Work Crew","6599  ERDMAN AVE","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-19T22:48:18.000","2015-03-21T22:48:18.000","PULASKI INDUSTRIAL AREA","Abated - Close SR","15-00221200","MD","CLOSED","2015-03-21T13:13:33.000","2015-03-21T13:13:00.000","21205",2,-76.537507,39.3010697
"Dispatch Work Crew","2000  HOLLINS FERRY RD","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-19T22:15:54.000","2015-03-21T22:15:54.000","MORRELL PARK","Abated - Close SR","15-00221130","MD","CLOSED","2015-03-21T15:09:20.000","2015-03-21T15:00:00.000","21230",2,-76.646925,39.268584
"Dispatch Work Crew","1200 N MACON ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-19T21:14:18.000","2015-03-21T21:14:18.000","ORANGEVILLE","Abated - Close SR","15-00220988","MD","CLOSED","2015-03-20T15:57:27.000","2015-03-20T15:57:00.000","21205",2,-76.559596,39.3060789
"Dispatch Work Crew","FENWICK AVE &E 33RD ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-19T21:00:53.000","2015-03-21T21:00:53.000","EDNOR GARDENS-LAKESIDE","Abated - Close SR","15-00220956","MD","CLOSED","2015-03-21T14:26:33.000","2015-03-21T14:25:00.000","21218",2,-76.5878081,39.3458509
"Dispatch Work Crew","HILLEN RD & WADSWORTH WAY","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-19T20:58:17.000","2015-03-21T20:58:17.000","LOCH RAVEN","Abated - Close SR","15-00220951","MD","CLOSED","2015-03-21T14:36:15.000","2015-03-21T14:35:00.000","21239",2,-76.5816433,39.3595487
"Dispatch Work Crew","1500 S CATON AVE","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-19T20:44:16.000","2015-03-21T20:44:16.000","VIOLETVILLE","Abated - Close SR","15-00220913","MD","CLOSED","2015-03-20T11:57:33.000","2015-03-20T11:57:00.000","21227",2,-76.6657324,39.2621626
"Dispatch Work Crew","6349  BOSTON ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-19T20:36:37.000","2015-03-21T20:36:37.000","O'DONNELL HEIGHTS","Abated - Close SR","15-00220899","MD","CLOSED","2015-03-20T16:30:14.000","2015-03-20T16:29:00.000","21224",2,-76.5356004,39.2756119
"Dispatch Work Crew","1501  CHARLOTTE AVE","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-19T20:34:44.000","2015-03-21T20:34:44.000","BROENING MANOR","Abated - Close SR","15-00220892","MD","CLOSED","2015-03-20T16:34:10.000","2015-03-20T16:33:00.000","21224",2,-76.540258,39.276273
