subType,name,block,type,numLanes,project,route,length,dateInstalled,lon,lat
STRPRD,BANK ST,3200 BLK BANK ST,BIKE LANE,2,SOUTHEAST BIKE NETWORK, ,99.65192086,2010,-76.5924371,39.2866544
STRPRD,BANK ST,3200 BLK BANK ST,BIKE LANE,2,SOUTHEAST BIKE NETWORK, ,122.9615275,2010,-76.5924371,39.2866544
STRPRD,BANK ST,3200 BLK BANK ST,BIKE LANE,2,SOUTHEAST BIKE NETWORK, ,125.3966889,2010,-76.5924371,39.2866544
STRPRD,BANK ST,3300 BLK BANK ST,BIKE LANE,2,SOUTHEAST BIKE NETWORK, ,128.9047328,2010,-76.5924371,39.2866544
STRPRD,BANK ST,3300 BLK BANK ST,BIKE LANE,2,SOUTHEAST BIKE NETWORK, ,140.1891779,2010,-76.5924371,39.2866544
STRPRD,BANK ST,3400 BLK BANK ST,BIKE LANE,2,SOUTHEAST BIKE NETWORK, ,256.9017104,2010,-76.5924371,39.2866544
STRPRD,BANK ST,3500 BLK BANK ST,BIKE LANE,2,SOUTHEAST BIKE NETWORK, ,269.4480775,2010,-76.5924371,39.2866544
STRPRD,BANK ST,3600 BLK BANK ST,BIKE LANE,1,SOUTHEAST BIKE NETWORK, ,194.05847,2010,-76.5924371,39.2866544
STRPRD,BANK ST,3700 BLK BANK ST,BIKE LANE,1,SOUTHEAST BIKE NETWORK, ,314.3269242,2010,-76.5924371,39.2866544
STRPRD,BANK ST,3800 BLK BANK ST,BIKE LANE,1,SOUTHEAST BIKE NETWORK, ,224.2845214,2010,-76.5924371,39.2866544
STRPRD,BANK ST,3800 BLK BANK ST,BIKE LANE,1,SOUTHEAST BIKE NETWORK, ,328.230008,2010,-76.5924371,39.2866544
STRPRD,BANK ST,4000 BLK BANK ST,BIKE LANE,1,SOUTHEAST BIKE NETWORK, ,260.9876714,2010,-76.5924371,39.2866544
STRPRD,BATTERY AVE,700 BLK BATTERY AVE,SIGNED ROUTE,1, ,FT McHENRY,107.0565235,0,-76.6096998,39.2762511
STRPRD,BATTERY AVE,700 BLK BATTERY AVE,SIGNED ROUTE,1, ,FT McHENRY,126.1975638,0,-76.6096998,39.2762511
STRPRD,BATTERY AVE,800 BLK BATTERY AVE,SIGNED ROUTE,1, ,FT McHENRY,191.2351846,0,-76.6096998,39.2762511
STRPRD,BATTERY AVE,800 BLK BATTERY AVE,SIGNED ROUTE,1, ,FT McHENRY,198.930373,0,-76.6096998,39.2762511
STRPRD,BEAUMONT AVE,1000 BLK BEAUMONT AVE,SIGNED ROUTE,2,COLLEGETOWN,COLLEGETOWN,453.9712451,2007,-76.6028661,39.3510673
STRPRD,BEAUMONT AVE,1100 BLK BEAUMONT AVE,SIGNED ROUTE,2,COLLEGETOWN,COLLEGETOWN,348.8886977,2007,-76.6028661,39.3510673
STRPRD,BEAUMONT AVE,400 BLK BEAUMONT AVE,SIGNED ROUTE,2,COLLEGETOWN,COLLEGETOWN,234.0513621,2007,-76.6028661,39.3510673
STRPRD,BEAUMONT AVE,500 BLK BEAUMONT AVE,SIGNED ROUTE,2,COLLEGETOWN,COLLEGETOWN,306.2530626,2007,-76.6028661,39.3510673
STRPRD,BEAUMONT AVE,500 BLK BEAUMONT AVE,SIGNED ROUTE,2,COLLEGETOWN,COLLEGETOWN,390.4069932,2007,-76.6028661,39.3510673
STRPRD,BEAUMONT AVE,600 BLK BEAUMONT AVE,SIGNED ROUTE,2,COLLEGETOWN,COLLEGETOWN,388.0777464,2007,-76.6028661,39.3510673
STRPRD,BEAUMONT AVE,700 BLK BEAUMONT AVE,SIGNED ROUTE,2,COLLEGETOWN,COLLEGETOWN,644.0269568,2007,-76.6028661,39.3510673
STRPRD,BEAUMONT AVE,900 BLK BEAUMONT AVE,SIGNED ROUTE,2,COLLEGETOWN,COLLEGETOWN,351.3104845,2007,-76.6028661,39.3510673
STRPRD,BELAIR ROAD, ,SHARROW,2,OPERATION ORANGE CONE, ,33.93636393,2008,-76.5237634,39.360853
STRPRD,BELAIR ROAD,4600 BLK BELAIR ROAD,SHARROW,2,OPERATION ORANGE CONE, ,40.74726869,2008,-76.5237634,39.360853
STRPRD,BELAIR ROAD,4600 BLK BELAIR ROAD,SHARROW,2,OPERATION ORANGE CONE, ,175.3078751,2008,-76.5237634,39.360853
STRPRD,BELAIR ROAD,4600 BLK BELAIR ROAD,SHARROW,2,OPERATION ORANGE CONE, ,310.8051959,2008,-76.5237634,39.360853
STRPRD,BELAIR ROAD,4600 BLK BELAIR ROAD,SHARROW,2,OPERATION ORANGE CONE, ,315.699887,2008,-76.5237634,39.360853
STRPRD,BELAIR ROAD,4700 BLK BELAIR ROAD,SHARROW,2,OPERATION ORANGE CONE, ,108.5458255,2008,-76.5237634,39.360853
STRPRD,BELAIR ROAD,4700 BLK BELAIR ROAD,SHARROW,2,OPERATION ORANGE CONE, ,204.5345945,2008,-76.5237634,39.360853
STRPRD,BELAIR ROAD,4800 BLK BELAIR ROAD,SHARROW,2,OPERATION ORANGE CONE, ,255.7450706,2008,-76.5237634,39.360853
STRPRD,BELAIR ROAD,4800 BLK BELAIR ROAD,SHARROW,2,OPERATION ORANGE CONE, ,367.2622859,2008,-76.5237634,39.360853
STRPRD,BELAIR ROAD,4900 BLK BELAIR ROAD,SHARROW,2,OPERATION ORANGE CONE, ,172.3912042,2008,-76.5237634,39.360853
STRPRD,BELAIR ROAD,4900 BLK BELAIR ROAD,SHARROW,2,OPERATION ORANGE CONE, ,177.5054639,2008,-76.5237634,39.360853
STRPRD,BELAIR ROAD,4900 BLK BELAIR ROAD,SHARROW,2,OPERATION ORANGE CONE, ,324.3249888,2008,-76.5237634,39.360853
STRPRD,BELAIR ROAD,5000 BLK BELAIR ROAD,SHARROW,2,OPERATION ORANGE CONE, ,270.0452384,2008,-76.5237634,39.360853
STRPRD,BELAIR ROAD,5100 BLK BELAIR ROAD,SHARROW,2,OPERATION ORANGE CONE, ,213.9408502,2008,-76.5237634,39.360853
STRPRD,BELAIR ROAD,5100 BLK BELAIR ROAD,SHARROW,2,OPERATION ORANGE CONE, ,231.2109508,2008,-76.5237634,39.360853
STRPRD,BELAIR ROAD,5200 BLK BELAIR ROAD,SHARROW,2,OPERATION ORANGE CONE, ,46.44069193,2008,-76.5237634,39.360853
STRPRD,BELAIR ROAD,5200 BLK BELAIR ROAD,SHARROW,2,OPERATION ORANGE CONE, ,72.54333463,2008,-76.5237634,39.360853
STRPRD,BELAIR ROAD,5200 BLK BELAIR ROAD,SHARROW,2,OPERATION ORANGE CONE, ,209.8324,2008,-76.5237634,39.360853
STRPRD,BELAIR ROAD,5300 BLK BELAIR ROAD,SHARROW,2,OPERATION ORANGE CONE, ,74.77336119,2008,-76.5237634,39.360853
STRPRD,BELAIR ROAD,5300 BLK BELAIR ROAD,SHARROW,2,OPERATION ORANGE CONE, ,194.6730455,2008,-76.5237634,39.360853
STRPRD,BOSTON ST, , ,0, , ,25.72127253,0,-76.5607503,39.2772563
STRPRD,BOSTON ST, ,BIKE LANE,1,OPERATION ORANGE CONE, ,31.42981511,2011,-76.5607503,39.2772563
STRPRD,BOSTON ST, ,BIKE LANE,1,OPERATION ORANGE CONE, ,31.90874052,2011,-76.5607503,39.2772563
STRPRD,BOSTON ST,2100 BLK BOSTON ST,BIKE LANE,2,OPERATION ORANGE CONE, ,462.1682313,2008,-76.5607503,39.2772563
STRPRD,BOSTON ST,2200 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,171.8877631,2008,-76.5607503,39.2772563
STRPRD,BOSTON ST,2200 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,243.2411366,2008,-76.5607503,39.2772563
STRPRD,BOSTON ST,2200 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,420.2187189,2008,-76.5607503,39.2772563
STRPRD,BOSTON ST,2300 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,242.6956227,2008,-76.5607503,39.2772563
STRPRD,BOSTON ST,2300 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,244.7184818,2008,-76.5607503,39.2772563
STRPRD,BOSTON ST,5800 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,130.5358632,2011,-76.5607503,39.2772563
STRPRD,BOSTON ST,5800 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,132.114592,2011,-76.5607503,39.2772563
STRPRD,BOSTON ST,5900 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,126.7610324,2011,-76.5607503,39.2772563
STRPRD,BOSTON ST,5900 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,141.8476131,2011,-76.5607503,39.2772563
STRPRD,BOSTON ST,6000 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,179.250435,2011,-76.5607503,39.2772563
STRPRD,BOSTON ST,6000 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,179.856993,2011,-76.5607503,39.2772563
STRPRD,BOSTON ST,6100 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,185.6441577,2011,-76.5607503,39.2772563
STRPRD,BOSTON ST,6100 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,188.6192289,2011,-76.5607503,39.2772563
STRPRD,BOSTON ST,6100 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,656.1064611,2011,-76.5607503,39.2772563
STRPRD,BOSTON ST,6200 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,92.6641027,2011,-76.5607503,39.2772563
STRPRD,BOSTON ST,6200 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,187.7342864,2011,-76.5607503,39.2772563
STRPRD,BOSTON ST,6300 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,72.79401523,2011,-76.5607503,39.2772563
STRPRD,BOSTON ST,6300 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,77.65017653,2011,-76.5607503,39.2772563
STRPRD,BOSTON ST,6300 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,78.1650488,2011,-76.5607503,39.2772563
STRPRD,BOSTON ST,6300 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,79.52686698,2011,-76.5607503,39.2772563
STRPRD,BOSTON ST,6300 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,84.43292596,2011,-76.5607503,39.2772563
STRPRD,BOSTON ST,6300 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,88.09202672,2011,-76.5607503,39.2772563
STRPRD,BOSTON ST,6300 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,90.60225256,2011,-76.5607503,39.2772563
STRPRD,BOSTON ST,6300 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,91.07964307,2011,-76.5607503,39.2772563
STRPRD,BOSTON ST,6300 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,101.1510445,2011,-76.5607503,39.2772563
STRPRD,BOSTON ST,6300 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,108.1915391,2011,-76.5607503,39.2772563
STRPRD,BOSTON ST,6300 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,124.3065113,2011,-76.5607503,39.2772563
STRPRD,BOSTON ST,6300 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,146.4256611,2011,-76.5607503,39.2772563
STRPRD,BOSTON ST,6300 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,345.331903,2011,-76.5607503,39.2772563
STRPRD,BOSTON ST,6300 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,562.974669,2011,-76.5607503,39.2772563
STRPRD,BOSTON ST,6400 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,240.2525161,2011,-76.5607503,39.2772563
STRPRD,BOSTON ST,6500 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,181.1895898,2011,-76.5607503,39.2772563
STRPRD,BOSTON ST,6600 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,42.45444986,2011,-76.5607503,39.2772563
STRPRD,BOSTON ST,6600 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,93.66418563,2011,-76.5607503,39.2772563
STRPRD,BOSTON ST,6600 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,145.8788182,2011,-76.5607503,39.2772563
STRPRD,BOSTON ST,6600 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,450.0224652,2011,-76.5607503,39.2772563
STRPRD,BOSTON ST,6600 BLK BOSTON ST,BIKE LANE,1,OPERATION ORANGE CONE, ,551.5412837,2011,-76.5607503,39.2772563
STRPRD,CHARLCOTE ROAD, ,SIGNED ROUTE,1,COLLEGETOWN,COLLEGETOWN,25.20414281,2007,-76.6184917,39.3411498
