"subType","name","block","type","numLanes","project","route","length","dateInstalled","lon","lat"
"STRPRD","THE ALAMEDA","5100 BLK THE ALAMEDA","SIGNED ROUTE",2,"COLLEGETOWN","COLLEGETOWN",153.4448311,2007,"-76.599442","39.349195"
"STRPRD","THE ALAMEDA","5100 BLK THE ALAMEDA","SIGNED ROUTE",2,"COLLEGETOWN","COLLEGETOWN",146.1325907,2007,"-76.599442","39.349195"
"STRPRD","THE ALAMEDA","5100 BLK THE ALAMEDA","SIGNED ROUTE",2,"COLLEGETOWN","COLLEGETOWN",131.6738079,2007,"-76.599442","39.349195"
"STRPRD","SAN MARTIN DR","3500 BLK SAN MARTIN DR","SIGNED ROUTE",1,"COLLEGETOWN","COLLEGETOWN",2715.195335,2007,"-76.624098","39.330608"
"STRPRD","SAN MARTIN DR","3200 BLK SAN MARTIN DR","SIGNED ROUTE",1,"COLLEGETOWN","COLLEGETOWN",1801.538018,2007,"-76.623363","39.326543"
"STRPRD","ROLAND AVE","5800 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",467.4484614,2007,"-76.634259","39.368079"
"STRPRD","ROLAND AVE","5800 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",440.5237679,2007,"-76.634259","39.368079"
"STRPRD","ROLAND AVE","5700 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",330.1680971,2007,"-76.634265","39.367360"
"STRPRD","ROLAND AVE","5700 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",330.1271261,2007,"-76.634265","39.367360"
"STRPRD","ROLAND AVE","5700 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",316.0627952,2007,"-76.634265","39.367360"
"STRPRD","ROLAND AVE","5700 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",310.3544493,2007,"-76.634265","39.367360"
"STRPRD","ROLAND AVE","5700 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",299.608367,2007,"-76.634265","39.367360"
"STRPRD","ROLAND AVE","5700 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",297.3679059,2007,"-76.634265","39.367360"
"STRPRD","ROLAND AVE","5600 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",319.7842922,2007,"-76.634687","39.364736"
"STRPRD","ROLAND AVE","5600 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",315.3050655,2007,"-76.634687","39.364736"
"STRPRD","ROLAND AVE","5600 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",50.83839673,2007,"-76.634687","39.364736"
"STRPRD","ROLAND AVE","5500 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",461.7128722,2007,"-76.635081","39.362506"
"STRPRD","ROLAND AVE","5500 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",368.3873807,2007,"-76.635081","39.362506"
"STRPRD","ROLAND AVE","5500 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",269.8056254,2007,"-76.635081","39.362506"
"STRPRD","ROLAND AVE","5500 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",230.8895907,2007,"-76.635081","39.362506"
"STRPRD","ROLAND AVE","5500 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",197.2626026,2007,"-76.635081","39.362506"
"STRPRD","ROLAND AVE","5500 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",186.3744639,2007,"-76.635081","39.362506"
"STRPRD","ROLAND AVE","5400 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",462.038721,2007,"-76.640045","39.360335"
"STRPRD","ROLAND AVE","5400 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",441.7296581,2007,"-76.640045","39.360335"
"STRPRD","ROLAND AVE","5400 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",337.0778539,2007,"-76.640045","39.360335"
"STRPRD","ROLAND AVE","5400 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",312.8500372,2007,"-76.640045","39.360335"
"STRPRD","ROLAND AVE","5400 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",80.59639054,2007,"-76.640045","39.360335"
"STRPRD","ROLAND AVE","5400 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",69.2072856,2007,"-76.640045","39.360335"
"STRPRD","ROLAND AVE","5300 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",361.5529581,2007,"-76.635181","39.358333"
"STRPRD","ROLAND AVE","5200 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",892.3008036,2007,"-76.634892","39.356422"
"STRPRD","ROLAND AVE","5200 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",886.7765575,2007,"-76.634892","39.356422"
"STRPRD","ROLAND AVE","5100 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",319.632866,2007,"-76.634805","39.355024"
"STRPRD","ROLAND AVE","5100 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",251.1555002,2007,"-76.634805","39.355024"
"STRPRD","ROLAND AVE","5100 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",187.0866062,2007,"-76.634805","39.355024"
"STRPRD","ROLAND AVE","5100 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",168.8012084,2007,"-76.634805","39.355024"
"STRPRD","ROLAND AVE","5100 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",165.4528093,2007,"-76.634805","39.355024"
"STRPRD","ROLAND AVE","5000 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",320.8014793,2007,"-76.634482","39.353611"
