"lat","lon","type"
39.2871116,-76.5663195,"Hazard"
39.323158,-76.595302,"Hazard"
39.322398,-76.594705,"Hazard"
39.287358,-76.5709896,"Hazard"
39.2838463,-76.5996051,"Hazard"
39.2709336,-76.5508985,"Hazard"
39.308894,-76.577596,"Hazard"
39.2694286,-76.6849494,"Hazard"
39.2687276,-76.6870529,"Hazard"
39.3131814,-76.6726209,"Hazard"
39.3047587,-76.6103617,"Hazard"
39.3018055,-76.6224197,"Hazard"
39.2283594,-76.5954946,"Hazard"
39.2903019,-76.705358,"Hazard"
39.2904861,-76.5422742,"Hazard"
39.326588,-76.5913829,"Hazard"
39.2863502,-76.6422888,"Hazard"
39.3413184,-76.5619577,"Hazard"
39.334035,-76.692265,"Hazard"
39.3102369,-76.643143,"Hazard"
39.294028,-76.613157,"Hazard"
39.3152982,-76.616576,"Hazard"
39.3300443,-76.6913655,"Hazard"
39.269039,-76.6136,"Hazard"
39.280107,-76.653255,"Hazard"
39.2820524,-76.5546296,"Hazard"
39.232691,-76.602633,"Hazard"
39.3187939,-76.551219,"Hazard"
39.2802729,-76.5805231,"Hazard"
39.367908,-76.689372,"Hazard"
39.3670683,-76.5714079,"Hazard"
39.3667908,-76.5725485,"Hazard"
39.331896,-76.602188,"Hazard"
39.2800257,-76.6684004,"Hazard"
39.262366,-76.5697978,"Hazard"
39.348638,-76.560727,"Hazard"
39.2917428,-76.7041035,"Hazard"
39.356107,-76.59712,"Hazard"
39.3585234,-76.6959943,"Hazard"
39.246082,-76.622078,"Hazard"
39.2633754,-76.6561144,"Hazard"
39.2731412,-76.6372421,"Hazard"
39.2731412,-76.6372421,"Hazard"
39.2731412,-76.6372421,"Hazard"
39.358576,-76.709423,"Hazard"
39.216519,-76.587973,"Hazard"
39.3522745,-76.5815444,"Hazard"
39.366248,-76.660259,"Hazard"
39.230796,-76.594598,"Hazard"
39.315624,-76.615684,"Hazard"
39.336439,-76.703652,"Hazard"
39.336417,-76.556976,"Hazard"
39.2582376,-76.636868,"Hazard"
39.352783,-76.560571,"Hazard"
39.359315,-76.562865,"Hazard"
39.346494,-76.5425099,"Hazard"
39.2801026,-76.5720624,"Hazard"
39.2936112,-76.5763174,"Hazard"
39.3650581,-76.5859898,"Hazard"
39.287996,-76.61327,"Hazard"
39.290926,-76.588818,"Hazard"
39.313246,-76.592088,"Hazard"
39.345662,-76.538781,"Hazard"
39.286703,-76.6187811,"Hazard"
39.35962,-76.618542,"Hazard"
39.2541189,-76.6556189,"Hazard"
39.27659,-76.543956,"Hazard"
39.2512913,-76.645051,"Hazard"
39.2947085,-76.6197381,"Hazard"
39.229162,-76.590632,"Hazard"
39.286341,-76.568836,"Hazard"
39.322125,-76.614824,"Hazard"
39.3193765,-76.6094414,"Hazard"
39.3124976,-76.6140112,"Hazard"
39.3088535,-76.6136586,"Hazard"
39.3459173,-76.5557581,"Hazard"
39.2007272,-76.5553231,"Hazard"
39.20255,-76.560081,"Hazard"
39.345905,-76.5859057,"Hazard"
39.3366363,-76.6092444,"Hazard"
39.358873,-76.562594,"Hazard"
39.359315,-76.562865,"Hazard"
39.2912227,-76.6011443,"Hazard"
39.36077,-76.61841,"Hazard"
39.3285105,-76.6050956,"Hazard"
39.3255267,-76.6835779,"Hazard"
39.2715937,-76.6638883,"Hazard"
39.351134,-76.555539,"Hazard"
39.3220839,-76.562852,"Hazard"
39.3299846,-76.5629083,"Hazard"
39.3193206,-76.5475303,"Hazard"
39.356763,-76.531678,"Hazard"
39.364455,-76.554065,"Hazard"
39.366719,-76.560547,"Hazard"
39.364509,-76.554227,"Hazard"
39.3687639,-76.5682805,"Hazard"
39.3646347,-76.606072,"Hazard"
39.27288,-76.539147,"Hazard"
39.2513685,-76.6473164,"Hazard"
39.327017,-76.591899,"Hazard"
39.3556503,-76.5767789,"Hazard"
39.322965,-76.572323,"Hazard"
39.326891,-76.613745,"Hazard"
39.335711,-76.6071169,"Hazard"
39.2673943,-76.6498574,"Hazard"
39.353579,-76.5475869,"Hazard"
39.251869,-76.6472739,"Hazard"
39.300396,-76.684072,"Hazard"
39.292129,-76.567257,"Hazard"
39.2398364,-76.6018707,"Hazard"
39.2789075,-76.635661,"Hazard"
39.343713,-76.5801649,"Hazard"
39.369036,-76.608216,"Hazard"
39.3016481,-76.6003184,"Hazard"
39.343079,-76.5663019,"Hazard"
39.2714883,-76.5978645,"Hazard"
39.3187868,-76.7036226,"Hazard"
39.280109,-76.6566835,"Hazard"
39.288222,-76.66004,"Hazard"
39.2763547,-76.6157124,"Hazard"
39.316634,-76.614654,"Hazard"
39.316854,-76.614982,"Hazard"
39.316952,-76.614483,"Hazard"
39.2922711,-76.5942798,"Hazard"
39.274235,-76.613945,"Hazard"
39.2913148,-76.6102367,"Hazard"
39.2740461,-76.6997902,"Hazard"
39.319659,-76.561254,"Hazard"
39.358896,-76.533772,"Hazard"
39.371051,-76.604933,"Hazard"
39.2844261,-76.600091,"Hazard"
39.3220839,-76.562852,"Hazard"
39.2853191,-76.5746802,"Hazard"
39.3121996,-76.602855,"Hazard"
39.359847,-76.625881,"Hazard"
39.3245037,-76.5459657,"Hazard"
39.3211581,-76.5506561,"Hazard"
39.3188058,-76.5540071,"Hazard"
39.31395,-76.563428,"Hazard"
39.361598,-76.546209,"Hazard"
39.2847522,-76.6529869,"Hazard"
39.2854771,-76.6453432,"Hazard"
39.285984,-76.633884,"Hazard"
39.30172,-76.644267,"Hazard"
39.291258,-76.538956,"Hazard"
39.3675727,-76.5791369,"Hazard"
39.2878681,-76.6074276,"Hazard"
39.3165904,-76.5684169,"Hazard"
39.2786152,-76.6365419,"Hazard"
39.334133,-76.597144,"Hazard"
39.3201996,-76.5477562,"Hazard"
39.356721,-76.581762,"Hazard"
39.342228,-76.606632,"Hazard"
39.267563,-76.612294,"Hazard"
39.2871035,-76.5857825,"Hazard"
39.2956934,-76.5896163,"Hazard"
39.3621183,-76.6827254,"Hazard"
39.341182,-76.595074,"Hazard"
39.305338,-76.710228,"Hazard"
39.3024805,-76.6405015,"Hazard"
39.28125,-76.6303819,"Hazard"
39.3181102,-76.6094425,"Hazard"
39.2904639,-76.5390107,"Hazard"
39.3321797,-76.6061516,"Hazard"
39.3305671,-76.6036036,"Hazard"
39.2841287,-76.5527779,"Hazard"
39.275647,-76.626534,"Hazard"
39.2792338,-76.6252434,"Hazard"
39.3038323,-76.6104592,"Hazard"
39.3395468,-76.6619135,"Hazard"
39.2428523,-76.5955376,"Hazard"
39.3374345,-76.6963361,"Hazard"
39.317168,-76.559267,"Hazard"
39.2625375,-76.535298,"Hazard"
39.3396002,-76.6358876,"Hazard"
39.2850279,-76.578808,"Hazard"
39.286776,-76.568884,"Hazard"
39.313876,-76.613089,"Hazard"
39.2511798,-76.6440119,"Hazard"
39.3675727,-76.5791369,"Hazard"
39.2709827,-76.610781,"Hazard"
39.2694399,-76.6848471,"Hazard"
39.3189114,-76.6094637,"Hazard"
39.341844,-76.604497,"Hazard"
39.3595487,-76.5816433,"Hazard"
39.2831131,-76.6176179,"Hazard"
39.2872699,-76.553253,"Hazard"
39.288639,-76.63228,"Hazard"
39.2028512,-76.5580576,"Hazard"
39.36392,-76.547469,"Hazard"
39.278678,-76.629171,"Hazard"
39.315807,-76.634402,"Hazard"
39.3043799,-76.5593739,"Hazard"
